point_id,role,split,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,diameter_m,label,mesh_level,attempts,verdict,reasons,case,attempt,sizing_radius_m,standoff_margin,asymptote_margin_deg,status,n_cells,h_m,solver_wall_time_s,total_wall_time_s,shock_clearance_ok,outer_outlet_min_mach,outer_outlet_n_faces,outer_outlet_mach_deficit_rel,p_stag_rel_error_vs_rayleigh_pitot,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,cd_fore_converged,max_non_orthogonality_deg,max_skewness,nose_radius_m,shoulder_radius_m,patience_pass,gate_G4_status_at_build
dp000,anchor,train,3.0,0.25,20.0,0.02,1.2,vertex0,coarse,1,USABLE,,dp000_coarse_a0,0,0.6,2.0,15.626892663754036,OK,3072,0.0184642923232615,275.0823490000039,312.00665174997994,True,3.000000000124821,2,-4.1606940115457285e-11,-0.0084291910226576,0.3894280396501196,0.3894280396501196,,forebody,1.7938840957485551,0.3895019377386495,0.0661833038263129,0.1103055063771882,0.7309176907879671,0.0067256843936265,1.5565504317589067,0.00432089077,11948.89153,11959.300525882116,11948.89153,11.959300525882115,0.18036525218,2.96789717,10000,10000,0,1500,0.0006232099089711,4.374997077752412e-05,True,51.50941665,0.9875025804,0.3,0.024,,IN_PROGRESS
dp002,anchor,train,3.0,0.25,20.0,0.1,1.2,vertex1,coarse,1,USABLE,,dp002_coarse_a0,0,0.6,2.0,15.626892663754036,OK,3072,0.0186402792227562,276.7504234579974,312.81535870603693,True,3.000000000124821,2,-4.1606940115457285e-11,-0.0086080127360281,0.3883864038680498,0.3883864038680498,,forebody,1.8956114137692697,0.3883787731201386,0.0661696428181105,0.1102827380301842,0.7309732325246401,0.0067305802431741,1.5576833848758127,0.00432089108,11946.7061,11957.143763509332,11946.7061,11.957143763509333,0.17718156597,2.894149254,10000,10000,0,1500,0.0003304137210357,3.093462145062271e-06,True,51.62825285,0.9971405003,0.3,0.12,,IN_PROGRESS
dp003,anchor,train,20.0,0.25,20.0,0.1,1.2,vertex1,coarse,3,USABLE,,dp003_coarse_a2,2,0.6,5.120000000000001,32.34299583437054,OK,3072,0.0204518529457038,141.97376820800127,180.00094608399377,True,20.00000000083214,2,-4.1607162160062217e-11,-0.0138334800524283,0.3518000934453476,0.3518000934453476,,forebody,2.523211368410579,0.3517261375901001,0.0408076764777118,0.0680127941295196,0.9078560483434908,0.0087608238112964,1.6042741145119124,0.0054609269899999,506982.4189,508353.0866630015,506982.4189,508.35308666300153,1.7215559879,16.489838983,10000,10000,0,1500,0.0007356229866837,1.2179320450720172e-05,True,51.64029334,0.9333248366,0.3,0.12,,IN_PROGRESS
dp004,anchor,train,3.0,0.25,70.0,0.02,1.2,vertex2,coarse,1,USABLE,,dp004_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.0148220917974636,306.6288735419803,338.6340197919926,True,3.000000000124821,2,-4.1606940115457285e-11,0.0058671797724603,1.4473356343396022,1.4473356343396022,,forebody,1.2999162757471183,1.4472762212659946,0.1981952889550918,0.3303254815918197,0.5970974328590475,0.0165035399596,1.5534856231835843,0.0106235549999999,12128.54732,12131.72854939825,12154.08853,12.13172854939825,0.19415274762,5.8791728166,15000,10000,1,1500,0.0005144206612572,4.8815161693715166e-05,True,67.30335923,1.657142083,0.3,0.024,,IN_PROGRESS
dp005,anchor,train,20.0,0.25,70.0,0.02,1.2,vertex2,coarse,1,USABLE,,dp005_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.0113336681068839,204.56877029199677,240.34308204399713,True,20.00000000083214,2,-4.1607162160062217e-11,-0.007586859382052,1.5514834692305306,1.5514834692305306,,forebody,1.4681271658729351,1.5509558417778375,0.1085757935946043,0.1809596559910073,0.6861891553091443,0.0102319877143521,1.5869636847852313,0.0064475248,511527.0957,511573.1198265361,512721.751,511.5731198265362,2.5573133169,82.768192981,10000,10000,0,1500,0.0006968080469338,9.65993404331154e-05,True,67.43657606,1.389344046,0.3,0.024,,IN_PROGRESS
dp006,anchor,train,3.0,0.25,70.0,0.1,1.2,vertex3,coarse,1,USABLE,,dp006_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.0155853856097361,117.98110866600472,131.22503729000164,True,3.000000000124821,2,-4.1606940115457285e-11,-0.0058585503100764,1.274939687633874,1.274939687633874,,forebody,1.4454890674040202,1.2746380177973506,0.1833954984513115,0.3056591640855192,0.6271832821169099,0.0159420025719241,1.591814302652317,0.0100149888999999,11987.4635,11990.304932776196,12012.8675,11.990304932776196,0.088281715095,4.9709037944,15000,10000,1,1500,0.0006225224826666,2.580207793782227e-05,True,57.03640152,1.018082677,0.3,0.12,,IN_PROGRESS
dp007,anchor,train,20.0,0.25,70.0,0.1,1.2,vertex3,coarse,1,USABLE,,dp007_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.0119993309285335,124.9216867500072,138.17478591602412,True,20.00000000083214,2,-4.1607162160062217e-11,-0.0087826325059697,1.3749329519556486,1.3749329519556486,,forebody,1.7059797638814116,1.374873923465512,0.1018423871672725,0.1697373119454542,0.7056503619801019,0.0095780906577334,1.5300143153118937,0.0062601313999999,510847.3928,510956.7178840685,512098.801,510.9567178840685,3.904973318,67.967779253,15000,10000,1,1500,0.0002977664818204,9.291590840874684e-05,True,57.061521,0.8459456495,0.3,0.12,,IN_PROGRESS
dp008,anchor,train,3.0,1.35,70.0,0.02,1.2,vertex6,coarse,1,USABLE,,dp008_coarse_a0,0,1.62,2.0,6.0,OK,3072,0.0178532404415902,256.3574926269939,269.9540648770053,True,3.000000000124821,2,-4.1606940115457285e-11,-0.0004840619427313,1.449920403956327,1.449920403956327,,forebody,1.3043772829099556,1.4502428180714426,0.2774488892677661,0.4624148154462769,0.582212031130054,0.0231799921664352,1.616256258397373,0.0143417803,12051.98863,12055.126447262111,12063.51983,12.055126447262111,0.10289021879,3.4021139111,20000,10000,2,1500,0.0003803942611123,6.441746087112632e-06,True,67.25503113,1.889553849,1.62,0.024,,IN_PROGRESS
dp009,anchor,train,20.0,1.35,70.0,0.02,1.2,vertex6,coarse,1,USABLE,,dp009_coarse_a0,0,1.62,2.0,6.0,OK,3072,0.0132967090016981,306.52494004201435,320.9298720009683,True,20.00000000083214,2,-4.1607162160062217e-11,0.0157410708679361,1.546715257218217,1.546715257218217,,forebody,1.4731421786871872,1.546730154375357,0.1887330551566848,0.314555091927808,0.5959369504557552,0.0155883787488122,1.5453478075555998,0.0100872946999999,523469.6608,523598.29519820784,524224.2143,523.5982951982079,1.0657721411,52.234305389,25000,10000,3,1500,0.0001068192270968,4.154165879270476e-05,True,67.41008352,1.634454192,1.62,0.024,,IN_PROGRESS
dp010,anchor,train,3.0,0.8,52.520127555148015,0.02,1.2,boundary0,coarse,1,USABLE,,dp010_coarse_a0,0,0.96,2.0,54.12412101043785,OK,3072,0.0156567406433775,215.9841486660007,233.90843812402457,True,3.000000000124821,2,-4.1606940115457285e-11,0.0032010686942449,1.3268807247825016,1.3268807247825016,,forebody,1.3158022322151195,1.3267502323739664,0.2060904811775967,0.3434841352959945,0.4763095507495751,0.0146377841744105,1.4861652981327846,0.0098493647999999,12097.67665,12099.57267779424,12116.28351,12.09957267779424,0.086369832323,3.6734520519,20000,10000,2,1500,0.0002110109681795,9.643964736609632e-05,True,73.31431753,1.288357203,0.96,0.024,,IN_PROGRESS
