x_m,T,p,rho,Ux,Uy,Uz
-0.2010320727,220.0,1000.0,0.01583460673,892.0264098,1.708593987e-10,-3.471167682e-10
-0.1932795279,220.0,999.9999999,0.01583460672,892.0264098,-1.386784279e-09,1.193985051e-10
-0.1857523099,220.0,999.9999998,0.01583460672,892.0264098,-6.282292332e-09,1.27884569e-09
-0.1784438696,220.0,999.9999997,0.01583460672,892.0264098,-1.039931467e-08,-5.150187868e-10
-0.1713478482,220.0,999.9999997,0.01583460672,892.0264098,-1.070160476e-08,-2.087257622e-09
-0.1644580716,220.0,999.9999996,0.01583460672,892.0264098,-1.616699309e-08,4.097223635e-10
-0.1577685455,220.0,999.9999996,0.01583460672,892.0264098,-2.627812457e-08,2.438533274e-09
-0.1512734497,220.0,999.9999995,0.01583460672,892.0264098,-2.960333238e-08,1.844233117e-10
-0.1449671331,220.0,999.9999995,0.01583460672,892.0264098,-2.735048024e-08,-2.195908347e-09
-0.1388441087,220.0,999.9999995,0.01583460672,892.0264098,-3.248564548e-08,-1.2587262e-09
-0.1328990493,220.0,999.9999995,0.01583460672,892.0264098,-4.132984833e-08,8.758931371e-10
-0.1271267822,220.0,999.9999995,0.01583460672,892.0264098,-4.594106271e-08,1.059807248e-09
-0.1215222853,220.0,999.9999994,0.01583460672,892.0264098,-4.508039121e-08,4.237466944e-10
-0.1160806825,220.0,999.9999994,0.01583460672,892.0264098,-5.344173676e-08,-2.452139363e-10
-0.1107972391,328.1787104,2169.098017,0.02302495211,740.9624582,3.371636538,-4.292614762e-07
-0.1056673583,561.7395723,8942.181405,0.05545470752,262.6031952,5.517751613,-1.933604847e-06
-0.1006865769,592.7289533,10527.44775,0.06187239325,216.9636664,10.04892772,1.458200803e-06
-0.09585056122,595.5472259,10607.74215,0.06204927494,207.0995937,11.27204853,9.194426638e-07
-0.09115510374,598.4393736,10729.56611,0.06245855933,196.4327615,11.34407459,1.498915158e-06
-0.08659611914,600.7395094,10837.83365,0.06284724544,186.8710983,10.64023575,8.257402629e-07
-0.08216964084,602.5895122,10939.17287,0.06324014822,178.0963707,9.98684089,1.031037151e-06
-0.07787181758,603.8966364,11031.87194,0.06363800604,169.8566847,9.94741155,2.211932783e-07
-0.07369891,604.7306046,11118.52039,0.06404939194,161.7417454,10.4720539,5.051155232e-07
-0.06964728745,605.249777,11199.65346,0.06446142608,153.4894061,11.39428267,-7.956183995e-08
-0.06571342479,605.6596944,11274.73446,0.06484964626,144.9713666,12.34111346,3.648366729e-07
-0.06189389935,606.2075942,11345.62526,0.06519841302,136.4192799,12.22682008,-4.547871604e-09
-0.05818538793,607.1619001,11415.49306,0.06549680654,128.7150809,10.76056581,2.481786747e-07
-0.05458466392,608.4815036,11475.84227,0.06570026958,121.739283,10.02948833,2.563724057e-07
-0.0510885945,609.9975852,11529.71736,0.06584465214,114.9647872,10.83852163,-2.659294226e-07
-0.04769413789,611.3821621,11579.94399,0.06598172386,107.8928968,11.89277801,9.201245208e-07
-0.04439834074,612.3763686,11629.90779,0.06615882918,100.7187561,11.91198387,-1.547024502e-06
-0.0411983355,612.8859303,11675.05555,0.06636044146,93.94421859,11.35864512,2.571791125e-06
-0.03809133802,613.1470827,11714.35398,0.06655545233,87.46617806,11.34772962,-3.579070083e-06
-0.03507464502,613.4620587,11750.6666,0.06672748541,81.10449935,11.59219298,5.300074397e-06
-0.03214563182,614.0126683,11784.54944,0.0668598832,74.81267481,11.73009438,-7.707230993e-06
-0.02930175001,614.7929148,11815.33275,0.06694945801,68.66520779,11.68477426,1.123115943e-05
-0.02654052527,615.579873,11843.25264,0.06702187051,62.75119753,11.54508223,-1.526921553e-05
-0.02385955518,616.0966048,11867.37981,0.06710208101,56.99158728,11.72732989,2.058152064e-05
-0.02125650714,616.2933195,11889.70776,0.06720687198,51.28520622,11.81115418,-2.853948039e-05
-0.01872911636,616.3056105,11909.75856,0.06731886703,45.67414086,11.75736721,3.486680574e-05
-0.01627518387,616.2871069,11926.99034,0.06741829231,40.18035705,11.85107995,-3.688491618e-05
-0.01389257462,616.3026187,11941.99567,0.06750141216,34.75067676,12.07142057,3.548028356e-05
-0.01157921561,616.5494997,11955.91648,0.06755303807,29.36515769,12.29525529,-3.185882095e-05
-0.009333094084,617.0927019,11965.50292,0.0675476912,23.88829766,12.59037204,1.604773938e-05
-0.007152255791,617.8824716,11972.14758,0.06749881508,18.65109894,12.57707387,-9.55830172e-06
-0.005034803289,618.7500609,11976.00257,0.06742587455,13.48426522,13.29530905,3.684812388e-06
-0.002978894275,619.3331737,11976.87143,0.06736727907,8.145147333,13.336349,2.982968782e-05
-0.0009827399954,619.5795334,11980.40638,0.06736036766,3.186473373,15.11014369,-2.239801388e-05
