x_m,r_m,p_pa,cp
1.628486326e-05,0.003583827862,46631.08044,1.8107571603174601
6.478676431e-05,0.008362006081,46662.15503,1.811990278968254
0.0001615336621,0.01361738378,46592.0861,1.809209765873016
0.0003064936605,0.01893994204,46547.78565,1.8074518115079363
0.000499652417,0.02428373987,46499.96842,1.8055543023809524
0.0007409936729,0.02963593437,46458.32957,1.8039019670634922
0.001030497757,0.03499132078,46423.19093,1.8025075765873015
0.001368141288,0.04034724056,46394.14162,1.8013548261904764
0.001753897088,0.04570208372,46366.63581,1.800263325793651
0.002187734153,0.05105473712,46332.92837,1.798925728968254
0.002669617637,0.05640434805,46285.56242,1.7970461277777778
0.003199508855,0.06175021115,46221.81565,1.7945164940476188
0.003777365281,0.0670917096,46137.2571,1.791160996031746
0.004403140544,0.07242828257,46040.44688,1.7873193206349207
0.005076784437,0.07775940601,45929.83276,1.7829298714285713
0.005798242916,0.08308458101,45812.58143,1.7782770408730157
0.006567458106,0.08840332634,45687.59583,1.7733172948412699
0.007384368308,0.09371517357,45562.79309,1.7683648051587302
0.008249203102,0.09901961269,45433.41208,1.7632306380952383
0.009161906248,0.1043161852,45305.48116,1.7581540142857144
0.01012211338,0.1096044891,45172.17496,1.7528640857142856
0.01112972843,0.1148840862,45037.57529,1.747522828968254
0.0121846705,0.1201545388,44897.74841,1.7419741432539682
0.0132868549,0.1254154122,44754.59937,1.736293625793651
0.01443619315,0.1306662745,44605.17715,1.7303641726190477
0.01563259298,0.135906696,44447.55547,1.724109344047619
0.01687595836,0.1411362493,44279.53906,1.7174420261904764
0.01816618951,0.1463545087,44105.17612,1.7105228619047617
0.01950318287,0.1515610503,43930.2282,1.703580484126984
0.02088683113,0.1567554517,43755.7023,1.696654853174603
0.02231702327,0.1619372922,43573.67205,1.6894314305555556
0.02379364452,0.1671061527,43377.33887,1.6816404313492064
0.02531657637,0.1722616152,43176.06825,1.6736535019841268
0.02688569664,0.1774032634,42984.48039,1.6660508091269841
0.02850087942,0.1825306824,42811.01716,1.6591673476190478
0.03016199512,0.1876434586,42638.73765,1.6523308591269843
0.03186917383,0.1927410887,42450.14578,1.6448470547619047
0.03362231159,0.197823146,42245.52026,1.6367269944444442
0.03542100435,0.2028893055,42043.07828,1.6286935825396827
0.0372650711,0.2079391718,41861.58401,1.6214914289682538
0.03915436381,0.2129723381,41701.42745,1.615136009920635
0.04108873083,0.2179883995,41549.19712,1.6090951238095237
0.04306801689,0.2229869526,41391.32329,1.6028302892857142
0.04509206312,0.2279675952,41220.52745,1.5960526765873015
0.04716070707,0.2329299267,41041.20298,1.5889366261904763
0.04927378271,0.2378735483,40860.18515,1.5817533789682539
0.05143112045,0.2427980624,40686.96851,1.5748797027777777
0.05363254716,0.2477030734,40526.02169,1.5684929242063492
0.05587788616,0.2525881868,40379.82313,1.562691394047619
0.05816695727,0.25745301,40247.11466,1.5574251849206349
0.06049957679,0.2622971523,40128.48531,1.5527176710317458
0.06287555753,0.2671202244,40021.0792,1.548455523809524
0.06529470883,0.2719218387,39932.21739,1.5449292615079364
0.06775683658,0.2767016096,39856.51528,1.5419252095238094
0.07026197101,0.2814590302,39803.8785,1.5398364484126983
0.07280995912,0.2861936877,39764.3205,1.5382666865079366
0.07540036671,0.2909053186,39743.9789,1.5374594801587302
0.07803293453,0.2955935715,39748.76512,1.5376494095238094
0.08070299725,0.30026066,39782.12137,1.5389730702380953
0.08339146273,0.3049172756,39838.11155,1.5411949027777778
0.0860818783,0.3095727769,39857.66843,1.5419709694444443
0.0887722954,0.3142282807,39854.18073,1.5418325686507937
0.09146271396,0.3188837872,39848.63694,1.541612576984127
