x_m,T,p,rho,Ux,Uy,Uz
-0.3039540101,220.0,1000.0,0.01583460673,1784.05282,-3.287333666e-09,1.623857089e-09
-0.2980686711,220.0,1000.0,0.01583460673,1784.05282,3.945412269e-09,5.21676281e-09
-0.2922685907,220.0,1000.0,0.01583460673,1784.05282,9.343717234e-09,-3.652179625e-09
-0.2865525338,220.0,1000.0,0.01583460673,1784.05282,1.254227158e-09,-7.621139781e-09
-0.2809192833,220.0,1000.0,0.01583460673,1784.05282,-7.797377235e-10,5.361456705e-09
-0.2753676396,220.0,1000.0,0.01583460673,1784.05282,1.389364231e-08,7.000282769e-09
-0.2698964203,220.0,1000.0,0.01583460673,1784.05282,1.855666939e-08,-3.703093174e-09
-0.2645044606,220.0,1000.0,0.01583460673,1784.05282,1.101202697e-08,-6.789807403e-09
-0.2591906121,220.0,1000.0,0.01583460673,1784.05282,9.337796687e-09,4.874616534e-09
-0.2539537432,220.0,1000.0,0.01583460673,1784.05282,2.310864207e-08,4.984598898e-09
-0.2487927389,220.0,1000.0,0.01583460673,1784.05282,2.854650006e-08,-3.037695877e-09
-0.2437065001,220.0,1000.0,0.01583460673,1784.05282,2.426424272e-08,-2.921754322e-09
-0.2386939436,220.0,1000.0,0.01583460673,1784.05282,2.06611678e-08,3.195049437e-09
-0.2337540022,220.0,1000.0,0.01583460673,1784.05282,3.047931146e-08,1.704939402e-09
-0.2288856237,220.0,1000.0,0.01583460673,1784.05282,3.793097206e-08,-1.615318381e-09
-0.2240877717,220.0,1000.0,0.01583460673,1784.05282,3.622244126e-08,-6.794828018e-10
-0.2193594243,220.0,1000.0,0.01583460673,1784.05282,3.208394436e-08,8.484973531e-10
-0.2146995746,220.0,1000.000001,0.01583460673,1784.05282,3.731124448e-08,1.474521871e-10
-0.2101072304,220.0,1000.000001,0.01583460673,1784.05282,4.462835208e-08,-3.94494355e-10
-0.2055814137,220.0,1000.000001,0.01583460673,1784.05282,4.520288706e-08,-2.123876461e-10
-0.2011211607,220.0,1000.000001,0.01583460673,1784.05282,4.417472541e-08,-1.414800603e-11
-0.1967255218,220.0,1000.000001,0.01583460673,1784.05282,4.643100539e-08,-6.027206365e-11
-0.1923935608,220.0,1000.000001,0.01583460673,1784.05282,4.933297603e-08,-2.030316783e-10
-0.1881243552,220.0,1000.000001,0.01583460673,1784.05282,5.049004244e-08,-1.571919751e-10
-0.183916996,220.0,1000.000001,0.01583460673,1784.05282,5.246223898e-08,-8.793058513e-11
-0.1797705872,220.0,1000.000001,0.01583460673,1784.05282,5.317888828e-08,-8.913940699e-11
-0.1756842458,220.0,1000.000001,0.01583460673,1784.05282,5.39331162e-08,-5.995909383e-11
-0.1716571017,220.0,1000.000001,0.01583460673,1784.05282,5.432173006e-08,-2.932170138e-10
-0.1676882973,220.0,1000.000001,0.01583460673,1784.05282,5.612732468e-08,-2.503452421e-10
-0.1637769874,220.0,1000.000001,0.01583460673,1784.05282,5.817285949e-08,2.222420257e-10
