case,mach,level,max_co,criterion_met,drift_rel,quantity,window_iterations,sample_interval_iterations,mean,peak_to_peak_rel,half_peak_to_peak_rel,rms_rel,dominant_period_iterations,dominant_period_power_fraction,dominant_period_cell_transit_times,period_resolved
sphere_M3_coarse,3.0,coarse,0.2,True,4.6332576694526066e-05,cd_fore,2000,5.0,0.8444017431768727,0.00048470079574490705,0.00024235039787245353,0.00014186383890018846,668.3333333333334,0.6449871302414547,133.66666666666669,True
sphere_M3_medium,3.0,medium,0.2,True,2.7636163121338493e-05,cd_fore,2000,5.0,0.8461282616531345,0.0007633476996629906,0.0003816738498314953,0.00010184077902115423,334.1666666666667,0.15976422808559496,66.83333333333334,True
sphere_M3_fine,3.0,fine,0.2,False,7.076763565031402e-06,cd_fore,2000,5.0,0.847213070571906,0.0028204583842054557,0.0014102291921027279,0.0005865575415564446,32.868852459016395,0.4481856821053147,6.5737704918032795,True
sphere_M3_fine_Co0p1,3.0,fine,0.1,True,1.593890273361108e-06,cd_fore,2000,5.0,0.8469180989657618,0.0003265354110450587,0.00016326770552252935,7.280470685286711e-05,91.13636363636364,0.3281016652423361,9.113636363636365,True
sphere_M3_fine_Co0p05,3.0,fine,0.05,True,9.328556292107468e-06,cd_fore,2000,5.0,0.846920791930521,0.00010718634207269039,5.3593171036345196e-05,2.7111281967277457e-05,2005.0000000000002,0.25105889369671774,100.25000000000001,True
sphere_M6_coarse,6.0,coarse,0.2,True,3.114161099000784e-05,cd_fore,2000,5.0,0.8689038737159874,0.0002977691740565481,0.00014888458702827406,6.356826728609023e-05,1002.5000000000001,0.31274151416920665,200.50000000000003,True
sphere_M6_medium,6.0,medium,0.2,True,1.769363223148516e-05,cd_fore,2000,5.0,0.870898409245509,0.0009098270241342604,0.0004549135120671302,0.00017567912078638476,87.17391304347827,0.33022904319869073,17.434782608695652,True
sphere_M6_fine,6.0,fine,0.2,False,1.6354529371832627e-05,cd_fore,2000,5.0,0.872212167097538,0.002228636657372806,0.001114318328686403,0.00041280352811441944,40.1,0.1671822645591163,8.020000000000001,True
sphere_M6_fine_Co0p1,6.0,fine,0.1,True,1.5188178452181947e-05,cd_fore,2000,5.0,0.8719855307429789,0.0007672609152564633,0.0003836304576282316,0.00018157095436351062,200.5,0.31566565254979634,20.05,True
sphere_M6_fine_Co0p05,6.0,fine,0.05,True,3.4337619889867695e-06,cd_fore,2000,5.0,0.8719794117807054,0.00037760529028129264,0.00018880264514064632,9.185008555364957e-05,286.42857142857144,0.25327760347516604,14.321428571428573,True
