x_m,T,p,rho,Ux,Uy,Uz
-0.1990843529,220.0,1000.0,0.01583460673,892.0264098,-3.479342665e-11,-5.81277261e-11
-0.1952295603,220.0,1000.0,0.01583460673,892.0264098,-1.133359073e-10,-1.957281864e-11
-0.1914306106,220.0,1000.0,0.01583460673,892.0264098,-2.821029308e-10,1.184792557e-10
-0.1876866948,220.0,1000.0,0.01583460673,892.0264098,-3.947906799e-10,3.156963691e-11
-0.1839970156,220.0,1000.0,0.01583460673,892.0264098,-4.155484682e-10,-1.499075942e-10
-0.1803607874,220.0,1000.0,0.01583460673,892.0264098,-5.48692426e-10,-6.637081855e-11
-0.1767772359,220.0,1000.0,0.01583460673,892.0264098,-8.001130514e-10,1.213864796e-10
-0.1732455979,220.0,1000.0,0.01583460673,892.0264098,-9.007618159e-10,8.610171732e-11
-0.1697651214,220.0,1000.0,0.01583460673,892.0264098,-8.880694013e-10,-4.734305431e-11
-0.1663350652,220.0,1000.0,0.01583460673,892.0264098,-1.023379185e-09,-9.320087479e-11
-0.1629546989,220.0,1000.0,0.01583460673,892.0264098,-1.161835206e-09,-4.599697882e-11
-0.1596233028,220.0,1000.0,0.01583460673,892.0264098,-1.282704969e-09,4.087907046e-11
-0.1563401672,220.0,1000.0,0.01583460673,892.0264098,-1.310135921e-09,7.133423407e-11
-0.1531045932,220.0,1000.0,0.01583460673,892.0264098,-1.369211021e-09,4.452509039e-11
-0.1499158917,220.0,1000.0,0.01583460673,892.0264098,-1.449077956e-09,-2.450003453e-11
-0.1467733837,220.0,1000.0,0.01583460673,892.0264098,-1.487042571e-09,-5.671898379e-11
-0.1436763999,220.0,1000.0,0.01583460673,892.0264098,-1.539372236e-09,-2.642411709e-11
-0.1406242811,220.0,1000.0,0.01583460673,892.0264098,-1.585566057e-09,3.322867242e-11
-0.137616377,220.0,1000.0,0.01583460673,892.0264098,-1.611449035e-09,2.942734874e-11
-0.1346520474,220.0,1000.0,0.01583460673,892.0264098,-1.638552276e-09,7.300777595e-12
-0.1317306609,220.0,1000.0,0.01583460673,892.0264098,-1.655203023e-09,-1.998437415e-11
-0.1288515953,220.0,1000.0,0.01583460673,892.0264098,-1.687320793e-09,-3.778667015e-11
-0.1260142376,220.0,1000.0,0.01583460673,892.0264098,-1.708191961e-09,1.460001103e-11
-0.1232179837,220.0,1000.0,0.01583460673,892.0264098,-1.714587899e-09,5.035693832e-11
-0.120462238,220.0,1000.0,0.01583460673,892.0264098,-1.687525016e-09,-1.409263696e-12
-0.1177464138,220.0,1000.0,0.01583460673,892.0264098,-1.693695237e-09,-3.797490486e-11
-0.1150699327,220.0,1000.0,0.01583460673,892.0264098,-1.666610498e-09,-6.154953275e-12
-0.1124322247,220.0,1000.0,0.01583460673,892.0264098,-1.644055154e-09,8.4014881e-12
-0.1098327282,220.0034545,1000.042902,0.01583503741,892.0158048,0.01586481781,4.804023749e-08
-0.1072708896,504.2868461,6645.002923,0.04590367949,328.4130886,4.558947994,-9.329935757e-05
-0.1047461633,593.3322937,10437.9611,0.06128407705,226.429024,3.230672187,-5.854576243e-05
-0.1022580118,593.2132299,10484.92649,0.06157217911,221.0139175,4.928612048,-0.0003989612897
-0.09980590522,593.6379134,10543.88373,0.06187410654,215.8395369,5.407346582,-0.0003925904105
-0.09738932137,594.3764819,10602.72055,0.06214206207,210.7477758,5.718884194,-0.0002045817259
-0.09500774562,595.3757982,10660.3473,0.0623749398,205.6852604,5.779074467,0.0001238579057
-0.09266067084,596.5180908,10715.86331,0.06257970452,200.7781966,5.594155302,0.000344122277
-0.09034759724,597.6889196,10769.90731,0.06277210947,196.1028483,5.283849081,0.0004434025524
-0.08806803224,598.8078505,10823.34757,0.06296570674,191.6600025,4.984766745,0.0003583774259
-0.08582149043,599.8241198,10876.92367,0.06317018049,187.3992117,4.763475242,7.685291845e-05
-0.0836074934,600.6992217,10930.50061,0.06338886065,183.2534575,4.665837805,-0.0001788118555
-0.0814255697,601.4151263,10983.15596,0.06361840344,179.1354952,4.762871085,-0.0002878847659
-0.0792752547,601.9963222,11034.26197,0.0638527219,174.9461033,5.047371477,-0.0002786333482
-0.07715609048,602.5010163,11083.55527,0.06408424467,170.6163073,5.425646287,-0.000151959251
-0.07506762578,603.001769,11131.01952,0.06430523361,166.1400992,5.761677443,-0.0001260898491
-0.07300941586,603.567584,11176.83164,0.06450936462,161.5884987,5.917455939,-0.0001697782888
-0.07098102244,604.2403034,11220.99697,0.06469216976,157.0893129,5.835329365,1.706831207e-05
-0.06898201358,605.0186969,11263.5451,0.06485392559,152.775277,5.540115324,0.0002115595827
-0.0670119636,605.8506051,11304.35572,0.06499953231,148.7379399,5.146774337,0.0001759696326
-0.06507045297,606.6507099,11343.08145,0.06513618262,144.9746289,4.8421682,4.059705028e-06
-0.06315706826,607.3419053,11379.49532,0.06527091732,141.3861069,4.788078666,-0.0001623189271
-0.06127140202,607.8914761,11413.77109,0.06540833092,137.8266882,5.030631317,-0.0003075849807
-0.0594130527,608.3193132,11446.44621,0.06554944657,134.1634545,5.459438213,-0.0002359325237
-0.05758162458,608.6749733,11477.88995,0.06569110594,130.3415202,5.890558542,-1.981958682e-05
-0.05577672766,609.014565,11508.28805,0.06582835563,126.4111744,6.105080625,9.650488904e-05
-0.05399797758,609.3914101,11538.19333,0.06595860257,122.5417008,5.940570309,0.0001510008494
-0.05224499557,609.8237807,11567.20322,0.06607755607,118.8972638,5.563439704,4.999338787e-05
-0.05051740834,610.3000544,11594.9348,0.06618428241,115.474496,5.284730818,-0.0001114692813
-0.048814848,610.7905854,11621.51974,0.06628275514,112.1691067,5.261025913,-0.0002205997598
-0.047136952,611.2567013,11647.02007,0.06637753996,108.8440248,5.566072944,-6.825817089e-05
-0.04548336304,611.6749645,11671.78168,0.06647317343,105.3734845,5.995088455,4.720000831e-05
-0.04385372898,612.0472551,11696.48744,0.06657335848,101.7785543,6.180111459,5.705406304e-05
-0.04224770281,612.3696294,11720.13823,0.06667285504,98.21795,6.114407147,2.150538081e-05
-0.04066494252,612.6580951,11742.27661,0.06676734283,94.76649278,5.950648975,-2.615461164e-05
-0.03910511108,612.9437199,11763.48029,0.06685673934,91.45716079,5.731234148,2.09883879e-06
-0.03756787631,613.2294298,11783.00074,0.06693648124,88.23453353,5.759932977,-5.667472164e-05
-0.03605291087,613.5219913,11801.18909,0.0670078367,84.97275481,6.068679871,8.472679088e-06
-0.03455989215,613.8321249,11819.33914,0.0670769865,81.60646017,6.25528515,-6.778946616e-05
-0.03308850223,614.1463648,11837.42534,0.06714525536,78.2466609,6.203004962,1.392861392e-07
-0.03163842777,614.4331955,11854.1497,0.06720873155,74.93761267,6.203673819,-1.798974203e-05
-0.03020935998,614.6915718,11869.86897,0.06726956646,71.65341578,6.219561441,3.05459169e-06
-0.02880099454,614.926945,11884.9192,0.0673290788,68.42537662,6.137555591,6.890475723e-06
-0.02741303155,615.1321342,11898.43692,0.06738317335,65.2573838,6.15992468,-3.252659422e-05
-0.02604517545,615.3152035,11910.48652,0.0674313444,62.08987687,6.34098328,2.654428141e-05
-0.02469713497,615.4909816,11921.74839,0.06747582766,58.89505433,6.458372066,-4.65958393e-05
-0.02336862302,615.6641302,11932.45713,0.06751744412,55.73022301,6.413966309,3.051253737e-05
-0.02205935671,615.8298863,11942.44513,0.06755577112,52.6430016,6.317366544,-1.84473536e-05
-0.02076905725,615.9847442,11951.75949,0.06759146367,49.62419757,6.288844865,-1.013386435e-05
-0.01949744986,616.1273988,11960.55996,0.06762557221,46.63991342,6.343879823,1.939974484e-05
-0.01824426375,616.2598612,11969.09122,0.06765926215,43.66627367,6.399988997,-3.22588648e-05
-0.01700923208,616.3856739,11977.55254,0.06769327268,40.71408188,6.386097865,5.354175286e-05
-0.01579209183,616.5026833,11985.64426,0.06772614789,37.79821215,6.350511815,-4.972081844e-05
-0.01459258382,616.6143053,11993.39309,0.06775766548,34.92258483,6.294494288,2.584845651e-05
-0.01341045263,616.7218838,12000.67122,0.06778695735,32.09551452,6.211827351,-4.365296529e-06
-0.01224544652,616.8311468,12007.59869,0.0678140734,29.33616002,6.076323541,-2.669189913e-05
-0.0110973174,616.9450698,12013.97172,0.06783753675,26.65551173,5.958095908,3.967040294e-05
-0.009965820796,617.0721594,12019.67904,0.06785578524,24.03953031,5.911918623,-4.292876807e-05
-0.008850715744,617.2316364,12024.84185,0.06786739159,21.47247051,5.904956094,-1.901662858e-06
-0.007751764791,617.4427264,12029.58987,0.06787097756,18.94129385,5.889254244,5.452307874e-05
-0.006668733919,617.7216219,12033.48423,0.06786229649,16.45976386,5.90708858,-7.322294684e-05
-0.0056013925,618.1120717,12036.73838,0.06783776923,14.01769566,5.960698142,2.415780966e-05
-0.004549513246,618.6310209,12039.32767,0.06779544306,11.58240386,6.112578311,6.819104794e-05
-0.003512872164,619.2119339,12041.30573,0.06774296917,9.122535181,6.360741043,-7.141014133e-05
-0.002491248503,619.7056737,12042.46063,0.06769548827,6.60511523,6.70453786,-5.454655744e-05
-0.001484424712,620.0001311,12043.5241,0.06766931295,4.01698149,6.816645534,-1.018322696e-05
-0.0004921863907,620.0975393,12044.31102,0.06766310392,1.457981602,7.386640009,1.56043903e-05
