x_m,T,p,rho,Ux,Uy,Uz
-0.154214548,220.0,1000.0,0.01583460673,1784.05282,-2.056859949e-11,-4.063983893e-10
-0.1527257451,220.0,1000.0,0.01583460673,1784.05282,-5.232329035e-10,3.154498326e-10
-0.1512477089,220.0,1000.0,0.01583460673,1784.05282,6.093942082e-10,7.747973684e-10
-0.1497803616,220.0,1000.0,0.01583460673,1784.05282,1.621790629e-09,-3.627501752e-10
-0.1483236259,220.0,1000.0,0.01583460673,1784.05282,6.38649041e-10,-1.169400848e-09
-0.146877425,220.0,1000.0,0.01583460673,1784.05282,-4.640361218e-10,2.173386307e-10
-0.1454416827,220.0,1000.0,0.01583460673,1784.05282,1.33073823e-09,1.380556013e-09
-0.1440163235,220.0,1000.0,0.01583460673,1784.05282,3.116206143e-09,2.078596941e-10
-0.1426012722,220.0,1000.0,0.01583460673,1784.05282,2.635110201e-09,-1.225582275e-09
-0.1411964542,220.0,1000.0,0.01583460673,1784.05282,7.782920486e-10,-8.374406439e-10
-0.1398017957,220.0,1000.0,0.01583460673,1784.05282,1.509093274e-09,1.20854347e-09
-0.1384172231,220.0,1000.0,0.01583460673,1784.05282,4.16127414e-09,9.970700349e-10
-0.1370426633,220.0,1000.0,0.01583460673,1784.05282,4.781340427e-09,-3.827181767e-10
-0.1356780442,220.0,1000.0,0.01583460673,1784.05282,3.595345738e-09,-1.13891333e-09
-0.1343232937,220.0,1000.0,0.01583460673,1784.05282,2.226502881e-09,-1.303554219e-10
-0.1329783406,220.0,1000.0,0.01583460673,1784.05282,4.160226637e-09,1.226636029e-09
-0.1316431138,220.0,1000.0,0.01583460673,1784.05282,6.191327836e-09,4.082249482e-10
-0.1303175432,220.0,1000.0,0.01583460673,1784.05282,6.204679357e-09,-4.488861486e-10
-0.1290015589,220.0,1000.0,0.01583460673,1784.05282,5.166767309e-09,-7.048384789e-10
-0.1276950915,220.0,1000.0,0.01583460673,1784.05282,4.301787135e-09,1.889975057e-10
-0.1263980722,220.0,1000.0,0.01583460673,1784.05282,6.204786051e-09,8.709764912e-10
-0.1251104327,220.0,1000.0,0.01583460673,1784.05282,7.650548497e-09,1.034652512e-10
-0.1238321052,220.0,1000.0,0.01583460673,1784.05282,7.632604749e-09,-3.11481675e-10
-0.1225630224,220.0,1000.0,0.01583460673,1784.05282,7.075597164e-09,-3.618500068e-10
-0.1213031172,220.0,1000.0,0.01583460673,1784.05282,6.425717252e-09,1.787100918e-10
-0.1200523235,220.0,1000.0,0.01583460673,1784.05282,7.655370912e-09,4.685199702e-10
-0.1188105752,220.0,1000.0,0.01583460673,1784.05282,8.751039594e-09,8.649368192e-11
-0.1175778071,220.0,1000.0,0.01583460673,1784.05282,8.910120185e-09,-1.284535962e-10
-0.1163539541,220.0,1000.0,0.01583460673,1784.05282,8.758730888e-09,-1.638520787e-10
-0.1151389518,220.0,1000.0,0.01583460673,1784.05282,8.337935702e-09,-1.369972461e-10
-0.1139327361,220.0,1000.0,0.01583460673,1784.05282,8.948952827e-09,8.556539062e-12
-0.1127352435,220.0,1000.0,0.01583460673,1784.05282,9.819348435e-09,1.447089468e-10
-0.111546411,220.0,1000.0,0.01583460673,1784.05282,9.971009063e-09,1.221411567e-10
-0.110366176,220.0,1000.0,0.01583460673,1784.05282,9.931116465e-09,-9.667940047e-11
-0.1091944761,220.0,1000.0,0.01583460673,1784.05282,9.850423482e-09,-1.945954629e-10
-0.1080312498,220.0,1000.0,0.01583460673,1784.05282,1.003174444e-08,-1.946923536e-10
-0.1068764356,220.0,1000.0,0.01583460673,1784.05282,1.060871401e-08,7.802221798e-11
-0.1057299729,220.0,1000.0,0.01583460673,1784.05282,1.079558568e-08,2.135682978e-10
-0.1045918012,220.0,1000.0,0.01583460673,1784.05282,1.084226659e-08,1.64506061e-10
-0.1034618605,220.0,1000.0,0.01583460673,1784.05282,1.097089636e-08,-1.063212968e-10
-0.1023400913,220.0,1000.0,0.01583460673,1784.05282,1.109256766e-08,-1.725945339e-10
-0.1012264346,220.0,1000.0,0.01583460673,1784.05282,1.116975485e-08,-1.358378023e-10
-0.1001208316,220.0,1000.0,0.01583460673,1784.05282,1.134968642e-08,6.463298141e-11
-0.09902322414,220.0,1000.0,0.01583460673,1784.05282,1.138994446e-08,1.508637627e-10
-0.09793355435,220.0,1000.0,0.01583460673,1784.05282,1.141126544e-08,1.268605223e-10
-0.09685176485,220.0,1000.0,0.01583460673,1784.05282,1.165322618e-08,-2.19047751e-11
-0.09577779864,220.0,1000.0,0.01583460673,1784.05282,1.191041269e-08,-7.177960698e-11
-0.09471159914,220.0,1000.0,0.01583460673,1784.05282,1.193755389e-08,-4.801010046e-11
-0.0936531102,220.0,1000.0,0.01583460673,1784.05282,1.193542211e-08,4.235125357e-12
-0.09260227606,220.0,1000.0,0.01583460673,1784.05282,1.194316171e-08,6.246990125e-11
-0.09155904134,220.0,1000.0,0.01583460673,1784.05282,1.201168202e-08,3.812184127e-11
-0.0905233511,220.0,1000.0,0.01583460673,1784.05282,1.223938398e-08,-7.648714725e-11
-0.08949515078,220.0,1000.0,0.01583460673,1784.05282,1.224388017e-08,-9.02736158e-11
-0.0884743862,220.0,1000.0,0.01583460673,1784.05282,1.233105546e-08,-4.408000446e-11
-0.08746100359,220.0,1000.0,0.01583460673,1784.05282,1.239349858e-08,1.183479115e-10
-0.08645494958,220.0,1000.0,0.01583460673,1784.05282,1.244723798e-08,1.29994745e-10
-0.08545617116,220.0,1000.0,0.01583460673,1784.05282,1.24392045e-08,-1.615409761e-10
-0.08446461572,220.0,1000.0,0.01583460673,1784.05282,1.253561007e-08,-2.154444739e-10
-0.08348023101,220.0,1000.0,0.01583460673,1784.05282,1.254449923e-08,3.620619383e-11
-0.08250296518,220.0,1000.0,0.01583460673,1784.05282,1.26255211e-08,1.961647765e-10
-0.08153276676,220.0,1000.0,0.01583460673,1784.05282,1.26993732e-08,7.055187028e-11
-0.08056958463,220.0,1000.0,0.01583460673,1784.05282,1.283711605e-08,-3.149497694e-10
-0.07961336804,220.0,1000.0,0.01583460673,1784.05282,1.271206108e-08,-1.670960989e-10
-0.07866406664,220.0,1000.0,0.01583460673,1784.05282,1.28592676e-08,1.365079636e-10
-0.07772163039,220.0,1000.0,0.01583460673,1784.05282,1.28918233e-08,6.03159717e-11
-0.07678600967,220.0,1000.0,0.01583460673,1784.05282,1.288334207e-08,-9.160849955e-11
-0.07585715518,220.0,1000.0,0.01583460673,1784.05282,1.273960048e-08,-9.959425208e-11
-0.074935018,693.4431577,5003.564232,0.0251361393,1472.042236,1.387311354,-0.5061575284
-0.07401954952,1627.592231,34555.91287,0.07396167272,414.7509981,1.207258992,-2.134391983
-0.07311070154,1750.382361,42026.80256,0.08364180259,335.1999233,6.222781315,4.584631773
-0.07220842619,1750.30023,41927.90823,0.08344889853,328.8997753,9.703940925,0.1775539528
-0.07131267591,1752.44336,42036.85685,0.08356342035,320.969904,9.549913478,-0.8573618441
-0.07042340352,1754.814012,42200.74212,0.08377587204,315.541074,7.565461989,-1.896484507
-0.06954056219,1757.437117,42425.10664,0.08409556845,312.412447,5.086495139,-1.861659915
-0.0686641054,1759.451668,42614.99801,0.08437525407,310.4013214,3.490614251,-0.7339788691
-0.06779398697,1760.47942,42728.49207,0.0845505771,308.0808093,3.43800933,0.5832112211
-0.06693016108,1760.645143,42768.94687,0.08462266257,304.6148345,4.638473343,1.602897558
-0.06607258221,1760.156979,42756.84722,0.08462218488,299.7692261,6.761564707,1.815476566
-0.06522120519,1759.692169,42748.21532,0.08462744889,293.812076,8.707123008,0.9532864749
-0.06437598516,1759.952527,42799.29979,0.08471604508,287.5846906,9.361784911,-0.5328260248
-0.0635368776,1761.369415,42942.03674,0.08493020074,282.3542218,8.33133543,-1.692622727
-0.06270383831,1764.104945,43180.89504,0.08527018103,279.1003097,6.142719437,-1.719380497
-0.0618768234,1766.893935,43413.28361,0.08559376256,276.9435777,4.244692894,-0.6372207572
-0.06105578931,1768.98408,43567.74427,0.08579680446,274.4735007,3.768427625,0.6367686697
-0.06024069278,1770.217093,43637.39245,0.08587410503,271.0641593,4.618854779,1.406291375
-0.05943149087,1770.445404,43623.79204,0.08583627017,266.6510379,6.34833917,1.453219465
-0.05862814095,1770.340361,43578.31037,0.08575186601,261.3707801,8.152799786,0.6584264766
-0.05783060071,1770.298875,43555.47094,0.08570893189,256.0339853,8.894055696,-0.5527218713
-0.05703882813,1770.778371,43595.21853,0.08576391794,251.3439298,8.190242925,-1.309190544
-0.05625278149,1772.469113,43762.35796,0.08601060464,248.4936701,6.407900565,-1.06738464
-0.0554724194,1774.514312,43973.90337,0.08632676643,246.9387284,4.814430982,-0.1004957232
-0.05469770073,1776.109415,44148.52002,0.08659172579,244.8388489,4.355106225,0.8104442396
-0.05392858469,1777.06805,44263.15637,0.08676973749,241.8498299,4.989682329,1.138333087
-0.05316503074,1777.340558,44306.8938,0.08684215964,237.5512703,6.222648484,0.7834818316
-0.05240699867,1777.160112,44297.14138,0.08683186045,232.3574794,7.289140266,-0.09618952573
-0.05165444855,1776.926221,44271.67722,0.08679336808,227.0383394,7.539661524,-0.8573146356
-0.05090734072,1777.134583,44263.72461,0.08676760286,222.4525293,6.872076021,-0.8715612379
-0.05016563584,1778.653265,44354.61105,0.08687152463,219.4625113,5.820148455,-0.09335311906
-0.04942929482,1780.768661,44509.35599,0.08707104742,217.9790652,5.383777061,0.7180319977
-0.04869827888,1782.667383,44663.31143,0.0872791611,216.5264962,5.676779939,0.8543456873
-0.04797254951,1783.876914,44770.28883,0.08742889179,214.2854123,6.242069378,0.4522197476
-0.04725206848,1784.254561,44811.49894,0.08749084639,210.6621998,6.652699368,-0.2702598779
-0.04653679783,1783.958586,44798.86842,0.08748069779,206.206934,6.523526975,-0.6398894211
-0.04582669987,1783.345324,44761.39405,0.0874375779,201.4211555,6.009811657,-0.3294940029
-0.04512173721,1782.991377,44740.79256,0.08741468414,197.188748,5.604731014,0.3675090587
-0.04442187271,1783.302368,44775.63504,0.08746750332,193.59466,5.859188712,0.6169820407
-0.0437270695,1784.662642,44896.74193,0.08763723276,191.1144408,6.452161977,0.2641007903
-0.04303729096,1786.694801,45071.0915,0.08787749414,189.3214668,6.736560071,-0.2250592113
-0.04235250078,1788.746465,45248.97565,0.08812313235,187.5463651,6.391886813,-0.3376988254
-0.04167266287,1790.080954,45366.80138,0.08828673392,185.3266574,5.678024595,0.07369738387
-0.04099774141,1790.368182,45394.07337,0.08832563462,181.9767048,5.232965283,0.4427026276
-0.04032770087,1789.949079,45361.36367,0.08828265553,178.1949228,5.398303683,0.2116318955
-0.03966250592,1789.139499,45297.40283,0.0881980657,174.0882137,5.930935936,-0.2286171981
-0.03900212154,1788.458432,45244.04997,0.08812773029,170.0746367,6.310716214,-0.2019824825
-0.03834651293,1788.365995,45241.18066,0.08812669625,166.833798,6.283960304,0.2122890073
-0.03769564556,1789.136025,45313.55995,0.08822969639,164.3900944,6.160381074,0.2735982796
