x_m,r_m,p_pa,cp
0.0004021088159,0.01634029467,11923.75313,1.733929068253968
0.00160614503,0.03809234994,11953.58954,1.7386650063492064
0.004010368285,0.06193574709,11756.21478,1.7073356793650794
0.007608904269,0.08594341483,11590.32249,1.68100356984127
0.01239428351,0.1098491342,11385.31014,1.648461926984127
0.01835488027,0.1335383977,11117.74427,1.6059911539682539
0.02547522711,0.156932406,10759.12027,1.5490667095238095
0.03373819398,0.1799645867,10398.40485,1.4918102936507938
0.04312499758,0.2025735305,9967.31183,1.4233828301587303
0.05361297766,0.2247015924,9507.574971,1.3504087255555555
0.06517580204,0.2462939418,9042.49855,1.2765870714285714
0.07778565513,0.2672973335,8533.316726,1.1957645596825395
0.09141316711,0.2876596259,8032.231032,1.1162271479365078
0.1060254792,0.307331142,7504.769611,1.032503112857143
0.1215864261,0.3262646975,6973.142034,0.9481177831746033
0.1380585747,0.3444144024,6435.238435,0.8627362595238096
0.1554031011,0.3617354389,5931.206198,0.7827311425396826
0.1735782011,0.3781858836,5415.227619,0.7008297807936509
0.1925392713,0.3937267913,4943.430249,0.6259413093650794
0.2122406994,0.4083206497,4457.581521,0.5488224636507937
0.2326357014,0.421931218,4027.879303,0.4806157623809524
0.2536751298,0.4345256301,3555.585052,0.40564842095238096
0.2753076596,0.446074468,3248.643918,0.35692760603174606
0.2974812521,0.4565498944,2779.437883,0.28245045761904763
0.3201429623,0.4659255356,2531.314468,0.24306578857142858
0.3432381854,0.4741787718,2130.453041,0.17943699063492066
0.3667108485,0.4812907883,1935.904682,0.14855629873015874
0.3905044863,0.4872444519,1607.219726,0.0963840834920635
0.4145620286,0.4920242393,1451.592323,0.07168132111111113
0.4388255097,0.4956186228,1189.753897,0.030119666190476197
0.4632362646,0.4980200967,1054.616605,0.00866930238095237
0.4877355715,0.4992228769,863.4172676,-0.0216797987936508
0.5122644285,0.4992228769,742.0429884,-0.04094555739682539
0.5367637354,0.4980200967,611.6568459,-0.06164177049206349
0.5611744903,0.4956186228,518.9135723,-0.07636292503174602
0.5854379714,0.4920242393,421.7184745,-0.09179071833333334
0.6094955137,0.4872444519,349.7247763,-0.10321828947619047
0.6332891515,0.4812907883,292.2547025,-0.11234052341269841
0.6567618146,0.4741787718,232.0291619,-0.12190013303174604
0.6798570377,0.4659255356,188.1279312,-0.12886858234920634
0.7025187479,0.4565498944,153.7687018,-0.13432242828571428
0.7246923404,0.446074468,125.7371373,-0.13877188296825396
0.7463248702,0.4345256301,98.87219794,-0.14303615905714287
0.7673642986,0.421931218,80.9095898,-0.14588736669841268
0.7877593006,0.4083206497,63.0315065,-0.1487251576984127
0.8074607287,0.3937267913,57.67562026,-0.14957529837142858
0.8264217989,0.3781858836,46.73156642,-0.15131244977460317
0.8445968989,0.3617354389,42.3721256,-0.1520044245079365
0.8619414253,0.3444144024,32.14908311,-0.15362712966507935
0.8784135739,0.3262646975,19.54101491,-0.15562841033174601
0.8939745208,0.307331142,36.73996038,-0.15289841898730158
0.9085868329,0.2876596259,207.4059686,-0.1258085764126984
0.9222143449,0.2672973335,338.5866101,-0.10498625236507937
0.934824198,0.2462939418,391.7285766,-0.09655101958730158
0.9463870224,0.2247015924,413.2821053,-0.09312982455555556
0.9568750024,0.2025735305,370.1535676,-0.09997562419047619
0.966261806,0.1799645867,319.5220543,-0.10801237233333333
0.9745247729,0.156932406,261.2080271,-0.11726856712698414
0.9816451197,0.1335383977,266.8714136,-0.11636961688888889
0.9876057165,0.1098491342,328.1031773,-0.10665028931746032
0.9923910957,0.08594341483,429.4951163,-0.09055633074603174
0.9959896317,0.06193574709,549.2022405,-0.07155519992063492
0.998393855,0.03809234994,665.3376773,-0.0531210036031746
0.9995978912,0.01634029467,722.1031955,-0.04411060388888889
