x_m,r_m,p_pa,cp
6.504629395e-05,0.006538319619,11971.69446,1.7415388031746033
0.000257516735,0.01525386623,11994.96016,1.7452317714285714
0.0006430165073,0.02483555289,11951.54697,1.7383407888888889
0.001220855985,0.03453237911,11923.38251,1.7338702396825396
0.001991100094,0.0442574605,11884.86579,1.7277564746031746
0.002953249005,0.05398445976,11842.11874,1.7209712285714285
0.004107088192,0.06370082725,11785.37132,1.7119637015873017
0.005452046565,0.07339882093,11727.83434,1.7028308476190475
0.00698771043,0.08307246681,11650.51364,1.6905577206349205
0.008713399179,0.09271686158,11572.87032,1.678233384126984
0.01062852327,0.1023274355,11481.61292,1.6637480825396824
0.01273227913,0.1119000538,11381.89943,1.6479205444444445
0.01502391219,0.1214306055,11275.45204,1.6310241333333333
0.01750249005,0.130915249,11153.74732,1.611705923809524
0.0201670995,0.1403500765,11029.23636,1.5919422793650795
0.02301667681,0.1497313948,10890.87775,1.5699805952380952
0.02605015465,0.1590554134,10748.42027,1.547368296825397
0.02926633706,0.1683185348,10596.66151,1.5232796047619048
0.0326640063,0.1775170544,10439.16612,1.4982803365079365
0.03624183433,0.1866474507,10275.95596,1.4723739619047618
0.0399984563,0.1957060927,10107.23453,1.4455927825396826
0.04393241298,0.2046895283,9933.477096,1.4180122374603175
0.04804219546,0.2135941969,9754.824652,1.3896547066666665
0.05232621469,0.2224167148,9570.802382,1.3604448225396826
0.05678282086,0.2311535924,9383.006199,1.3306359046031746
0.06141029686,0.2398015154,9190.974739,1.3001547204761903
0.06620685509,0.2483570683,8995.004381,1.2690483144444447
0.07117065251,0.2568170095,8795.976697,1.2374566185714286
0.07629976696,0.2651780005,8593.370249,1.2052968649206348
0.0815922319,0.2734368762,8389.445934,1.172927926031746
0.08704599391,0.2815903797,8181.739884,1.1399587117460317
0.09265896568,0.289635426,7973.194773,1.1068563131746032
0.09842896607,0.2975688442,7760.724091,1.0731308080952382
0.1043537898,0.3053876339,7551.000235,1.0398413071428572
0.1104311316,0.3130887142,7337.710919,1.0059858601587301
0.1166586716,0.3206691734,7131.8142,0.9733038412698413
0.1230339842,0.3281260255,6922.276051,0.9400438176190475
0.129554638,0.3354564518,6723.518443,0.908494990952381
0.1362180911,0.3426575653,6513.387117,0.8751408122222223
0.1430218043,0.3497266444,6319.000018,0.844285717142857
0.1499631233,0.3566609056,6097.374882,0.8091071241269842
0.157039405,0.3634577284,5886.429184,0.7756236799999999
0.164247887,0.3701144368,5663.704503,0.7402705560317461
0.1715858261,0.3766285157,5439.387777,0.7046647265079365
0.1790503562,0.3829974003,5237.071,0.6725509523809524
0.1866386381,0.3892186846,5011.061799,0.636676476031746
0.1943477065,0.3952899195,4841.029226,0.6096871787301587
0.2021746306,0.4012088114,4670.221564,0.5825748514285715
0.2101163505,0.4069730304,4490.80395,0.5540958650793651
0.2181698482,0.4125803989,4356.062223,0.5327082893650793
0.226331974,0.4180287099,4188.113054,0.5060496911111112
0.2345996274,0.4233159053,3998.059598,0.47588247587301585
0.2429695738,0.4284399039,3847.547458,0.45199166
0.2514386347,0.4333987705,3637.871273,0.4187097258730159
0.260003496,0.4381905533,3434.246887,0.38638839476190473
0.2686609056,0.4428134422,3303.980225,0.3657111468253968
0.2774074753,0.4472656178,3113.505414,0.33547704984126986
0.2862398847,0.4515453987,2936.44207,0.30737175714285714
0.2951546762,0.4556511003,2858.746966,0.29503920095238095
0.3041484664,0.459581172,2731.275614,0.27480565301587306
0.3132177337,0.463334067,2567.178581,0.24875850492063495
0.3223590369,0.466908368,2479.209848,0.23479521396825395
0.331568796,0.4703026682,2368.132928,0.21716395682539683
0.3408435169,0.4735156857,2223.871589,0.19426533158730155
0.350179567,0.4765461561,2098.428554,0.17435373873015875
0.3595734047,0.4793929347,1988.381168,0.15688589968253966
0.3690213502,0.4820549013,1856.212696,0.13590677714285715
0.37851982,0.4845310506,1728.042161,0.1155622477777778
0.3880650931,0.486820408,1640.796198,0.10171368222222223
0.397653549,0.488922109,1570.199922,0.09050792412698414
0.4072814314,0.4908353264,1474.717227,0.0753519407936508
0.4169450888,0.4925593377,1353.803325,0.05615925793650795
0.4266407351,0.4940934645,1270.013398,0.04285926952380953
0.4363646933,0.4954371273,1239.052302,0.03794480984126985
0.4461131534,0.4965897974,1195.145791,0.03097552238095237
0.4558824188,0.4975510395,1106.122547,0.01684484873015872
0.4656686613,0.4983204752,1000.447891,7.109380952381379e-05
0.4754681703,0.498897814,954.0421704,-0.007294893587301583
0.4852771057,0.4992828289,903.7415114,-0.01527912517460317
0.4950917482,0.4994753741,829.2559957,-0.02710222290476191
