x_m,r_m,p_pa,cp
0.0004591813278,0.01352572547,508461.5533,1.812362690357143
0.001833290495,0.03150492106,505197.9248,1.8007068742857142
0.004575387726,0.05114987957,492485.7513,1.755306254642857
0.008672777413,0.07082123131,468546.3244,1.6698083014285714
0.01410663858,0.09025586229,450739.1001,1.6062110717857143
0.02085211101,0.1093172956,426722.8047,1.5204385882142857
0.02887815817,0.1278997199,402137.8108,1.4326350385714286
0.03814806193,0.1459092718,367558.6157,1.3091379132142857
0.04861918868,0.1632587422,336229.1433,1.1972469403571429
0.06024360756,0.1798658148,303621.7459,1.080791949642857
0.072967888,0.1956526768,269646.1167,0.9594504167857143
0.086733751,0.2105457271,233612.8413,0.8307601475
0.1014779594,0.2244759722,205271.242,0.7295401499999999
0.1171329452,0.237378866,173797.6413,0.6171344332142856
0.1336268315,0.2491949404,143042.7358,0.507295485
0.150883993,0.2598695718,117982.9405,0.4177962160714286
0.1688252362,0.2693537067,98438.9911,0.34799639678571426
0.1873682598,0.2776035277,77055.94303,0.2716283679642857
0.2063277799,0.2848872678,72333.46972,0.25476239185714283
0.2254244361,0.2918320223,66337.37671,0.23334777396428572
0.2445213865,0.2987761282,67694.75792,0.23819556400000003
0.2636183769,0.3057202487,66235.34989,0.2329833924642857
0.2827154047,0.3126643828,64398.21631,0.22642220110714287
0.3018124673,0.3196085296,61732.72637,0.2169025941785714
0.3209095626,0.3265526882,60874.3183,0.21383685107142858
0.3400066885,0.333496858,61592.73161,0.21640261289285714
0.3591038432,0.3404410382,61904.21657,0.21751505917857142
0.3782010249,0.3473852283,61221.75919,0.21507771139285714
0.397298232,0.3543294277,59126.84496,0.20759587485714287
0.4163954632,0.3612736357,56246.9815,0.19731064821428573
0.435492717,0.3682178519,54132.37868,0.18975849528571428
0.454589992,0.375162076,53039.38085,0.18585493160714286
0.4736872873,0.3821063074,53038.70372,0.18585251328571428
0.4927846017,0.3890505457,53199.18547,0.18642566239285713
0.5118819343,0.3959947906,53614.75923,0.18790985439285715
0.530979284,0.4029390418,53746.66194,0.18838093549999999
0.55007665,0.4098832989,53483.70376,0.18744179914285714
0.5691740314,0.4168275616,52867.06972,0.18523953471428573
0.5882714277,0.4237718297,52142.39481,0.18265141003571428
0.6073688379,0.4307161028,51236.26217,0.1794152220357143
0.6264662614,0.4376603809,50159.84286,0.17557086735714283
0.6455636977,0.4446046635,48966.26346,0.1713080837857143
0.6646611461,0.4515489506,47833.75358,0.16726340564285713
0.6837586062,0.4584932418,46794.43883,0.16355156725
0.7028560772,0.4654375371,46656.15814,0.16305770764285715
0.7219535588,0.4723818363,46695.009,0.1631964607142857
0.7410510506,0.4793261391,47009.01346,0.16431790521428571
0.760148552,0.4862704454,47604.21031,0.16644360825
0.7792460627,0.4932147551,48406.06098,0.16930736064285715
0.7983435823,0.500159068,48954.12504,0.1712647322857143
0.8174411104,0.5071033841,49258.80245,0.17235286589285714
0.8365386467,0.5140477031,49177.67921,0.1720631400357143
0.8556361909,0.5209920249,48994.01587,0.1714071995357143
0.8747337425,0.5279363496,48684.29433,0.17030105117857142
0.8938313015,0.5348806768,48279.18334,0.16885422621428572
0.9129288674,0.5418250065,47831.52331,0.16725544039285714
0.9320264399,0.5487693387,47373.26095,0.16561878910714287
0.951124019,0.5557136732,47080.73916,0.16457406842857142
0.9702216043,0.5626580101,46962.43621,0.16415155789285715
0.9893191955,0.5696023491,46917.49407,0.16399105025
1.008416792,0.5765466902,46959.97441,0.16414276575
1.027514395,0.5834910333,47127.33778,0.16474049207142857
1.046612003,0.5904353784,47588.76214,0.1663884362142857
1.065874595,0.5966691271,40710.03494,0.14182155335714286
