iteration,cd_fore,cd_aft,cd_viscous,cd_total,mean_abs_drho_dtau_kg_m3_s
5,0.12261131074368149,,0.0,0.12261131074368149,5.8791728166
10,0.27084115400576264,,0.0,0.27084115400576264,5.8636578399
15,0.4482719766338806,,0.0,0.4482719766338806,5.841960868
20,0.6566919244196676,,0.0,0.6566919244196676,5.8143385929
25,0.8975611144997614,,0.0,0.8975611144997614,5.7818370726
30,1.1712698199057365,,0.0,1.1712698199057365,5.7460395812
35,1.4764055385572676,,0.0,1.4764055385572676,5.7088000509
40,1.8093601816233196,,0.0,1.8093601816233196,5.6720136066
45,2.1559980694667367,,0.0,2.1559980694667367,5.6374378756
50,2.471871107740498,,0.0,2.471871107740498,5.6065017609
55,2.734731074342593,,0.0,2.734731074342593,5.5793143205
60,2.9305910215975226,,0.0,2.9305910215975226,5.5901548526
65,3.059788947211609,,0.0,3.059788947211609,6.3404289556
70,3.1257238189190333,,0.0,3.1257238189190333,7.3921429303
75,3.132410742652505,,0.0,3.132410742652505,8.358205973
80,3.0916663744129607,,0.0,3.0916663744129607,9.0412763145
85,3.019123091368627,,0.0,3.019123091368627,9.4000842005
90,2.9276827558365985,,0.0,2.9276827558365985,9.496620595
95,2.8285884482994006,,0.0,2.8285884482994006,9.4193523172
100,2.7314163618205742,,0.0,2.7314163618205742,9.2357705093
105,2.640869782850018,,0.0,2.640869782850018,8.9907780967
110,2.559179967994813,,0.0,2.559179967994813,8.7564344493
115,2.4873833374779983,,0.0,2.4873833374779983,8.6279721127
120,2.426773103021278,,0.0,2.426773103021278,8.4797244786
125,2.376517549388368,,0.0,2.376517549388368,8.3017147949
130,2.334966836423077,,0.0,2.334966836423077,8.1049839931
135,2.300435450828695,,0.0,2.300435450828695,7.8906487391
140,2.271700130643089,,0.0,2.271700130643089,7.6743646058
145,2.2477912265480624,,0.0,2.2477912265480624,7.5144961268
150,2.2277733574572594,,0.0,2.2277733574572594,7.3949265012
155,2.210763099451264,,0.0,2.210763099451264,7.2854435875
160,2.1959648125152773,,0.0,2.1959648125152773,7.1578875498
165,2.1827588863467415,,0.0,2.1827588863467415,7.0175989861
170,2.1707067350921845,,0.0,2.1707067350921845,6.8774672319
175,2.1595848013313264,,0.0,2.1595848013313264,6.7522115701
180,2.1492993580613495,,0.0,2.1492993580613495,6.6496506083
185,2.1398130593474938,,0.0,2.1398130593474938,6.5632844358
190,2.1310573684229297,,0.0,2.1310573684229297,6.4810128102
195,2.122945043318254,,0.0,2.122945043318254,6.405403444
200,2.115388604998988,,0.0,2.115388604998988,6.3423395743
205,2.108337262221829,,0.0,2.108337262221829,6.2854330559
210,2.1017906414021263,,0.0,2.1017906414021263,6.2313263594
215,2.0957822991722845,,0.0,2.0957822991722845,6.178811273
220,2.0903494530315516,,0.0,2.0903494530315516,6.1292363843
225,2.0854918476246636,,0.0,2.0854918476246636,6.0861322623
230,2.081166973121049,,0.0,2.081166973121049,6.0504567263
235,2.077302459393391,,0.0,2.077302459393391,6.0164722515
240,2.0738092218117234,,0.0,2.0738092218117234,5.9825250402
245,2.070614485843599,,0.0,2.070614485843599,5.9496291228
250,2.0676717585407367,,0.0,2.0676717585407367,5.9196462571
255,2.0649663080163503,,0.0,2.0649663080163503,5.8968585924
260,2.062493043232225,,0.0,2.062493043232225,5.8759103873
265,2.060245835662019,,0.0,2.060245835662019,5.8543053418
270,2.058187849980449,,0.0,2.058187849980449,5.8324095338
275,2.0562695195783434,,0.0,2.0562695195783434,5.8103802485
280,2.0544330182607626,,0.0,2.0544330182607626,5.7920521202
285,2.052630944329964,,0.0,2.052630944329964,5.780213582
290,2.0508405340818014,,0.0,2.0508405340818014,5.770733979
295,2.049055333909646,,0.0,2.049055333909646,5.761759145
300,2.0472882120211624,,0.0,2.0472882120211624,5.7510235479
305,2.045549982363167,,0.0,2.045549982363167,5.7389312376
310,2.0438505707473684,,0.0,2.0438505707473684,5.7277795259
315,2.0421730996762446,,0.0,2.0421730996762446,5.7211767967
320,2.0404880115000705,,0.0,2.0404880115000705,5.7175769513
325,2.038770484616022,,0.0,2.038770484616022,5.7151692485
330,2.0370034495301392,,0.0,2.0370034495301392,5.713245117
335,2.0351835407469436,,0.0,2.0351835407469436,5.7099549849
340,2.0333270623009057,,0.0,2.0333270623009057,5.7053384157
345,2.0314522193954505,,0.0,2.0314522193954505,5.7017891744
350,2.0295696690455673,,0.0,2.0295696690455673,5.7002252356
355,2.0276849322604438,,0.0,2.0276849322604438,5.7004794989
360,2.0257914721676262,,0.0,2.0257914721676262,5.7016040794
365,2.023869259092265,,0.0,2.023869259092265,5.7027912105
370,2.0218990247769657,,0.0,2.0218990247769657,5.7036524383
375,2.019872378472079,,0.0,2.019872378472079,5.7009327552
380,2.017797901407933,,0.0,2.017797901407933,5.6983857747
385,2.015688380446333,,0.0,2.015688380446333,5.6959514601
390,2.0135722755226273,,0.0,2.0135722755226273,5.6956927907
395,2.0114580300339107,,0.0,2.0114580300339107,5.6960418574
400,2.0093463348642118,,0.0,2.0093463348642118,5.6980852888
405,2.0072350401586654,,0.0,2.0072350401586654,5.6997823472
410,2.0051112043467554,,0.0,2.0051112043467554,5.6997162107
415,2.0029627977400026,,0.0,2.0029627977400026,5.699138658
