x_m,T,p,rho,Ux,Uy,Uz
-0.398253502,220.0,999.9999999,0.01583460673,2937.913782,7.54986232e-10,4.502987789e-11
-0.3828953922,220.0,999.9999998,0.01583460672,2937.913782,8.675375006e-10,-4.667325564e-10
-0.3679836641,220.0,999.9999997,0.01583460672,2937.913782,-2.573002636e-09,2.330059808e-10
-0.3535053438,220.0,999.9999996,0.01583460672,2937.913782,-8.631587366e-09,8.576439313e-10
-0.3394478344,220.0,999.9999994,0.01583460672,2937.913782,-1.335621781e-09,-3.213654685e-10
-0.325798905,220.0,999.9999993,0.01583460672,2937.913782,-2.317308729e-09,-1.105761798e-09
-0.3125466803,219.9999999,999.9999992,0.01583460672,2937.913782,-1.179641501e-08,1.140544391e-10
-0.2996796302,219.9999999,999.9999991,0.01583460672,2937.913782,-2.059116416e-08,1.011914357e-09
-0.2871865595,219.9999999,999.999999,0.01583460671,2937.913782,-1.503445259e-08,2.974953224e-10
-0.2750565987,219.9999999,999.9999989,0.01583460671,2937.913782,-2.021066363e-08,-8.987411186e-10
-0.2632791941,219.9999999,999.9999987,0.01583460671,2937.913782,-2.311411847e-08,-6.96915713e-10
-0.2518440985,219.9999999,999.9999986,0.01583460671,2937.913782,-2.713080375e-08,7.750285909e-10
-0.2407413628,219.9999999,999.9999985,0.01583460671,2937.913782,-3.127733092e-08,9.856581767e-10
-0.2299613272,219.9999999,999.9999984,0.01583460671,2937.913782,-4.907452079e-08,-4.639517545e-10
-0.2194946123,219.9999999,999.9999983,0.01583460671,2937.913782,-4.319113557e-08,-8.749815335e-10
-0.2093321115,219.9999999,999.9999982,0.01583460671,2937.913782,-4.180096533e-08,1.962747394e-10
-0.1994649829,219.9999999,999.9999981,0.0158346067,2937.913782,-4.510939257e-08,4.345924153e-10
-0.1898846415,219.9999999,999.999998,0.0158346067,2937.913782,-6.983645607e-08,3.327797423e-10
-0.1805827519,2418.352433,26381.49689,0.03800229318,1674.311059,16.71816414,8.025170415
-0.1715512209,4346.925431,107314.9669,0.08600190434,537.6393622,14.9643517,17.08030464
-0.1627821907,4462.937493,115525.662,0.09017530588,468.3435466,26.49550356,-7.049305822
-0.1542680317,4472.405823,116279.0103,0.09057119228,439.3582923,26.44990777,-12.77910015
-0.146001336,4484.955847,117307.5273,0.09111663463,410.274148,25.50207791,-11.33561489
-0.1379749112,4497.937655,118260.3505,0.09159160988,383.6452498,24.04245299,-4.717145601
-0.1301817739,4512.371208,119162.8775,0.09199540269,358.7253578,22.99808993,4.02699024
-0.1226151436,4528.113167,119964.7148,0.09229245873,334.6104453,22.168162,10.28871964
-0.1152684369,4544.634042,120654.2234,0.09248548402,311.0613758,21.09235206,9.218714989
-0.1081352618,4561.186392,121292.6939,0.09263749107,289.9913867,20.01706911,0.8471996228
-0.101209412,4574.343447,121782.3168,0.0927439151,269.517805,19.21600322,-6.296859868
-0.09448486159,4582.136782,122260.6576,0.09294983869,249.6561657,18.10946798,-4.833692455
-0.08795575991,4583.088647,122611.407,0.09319713909,231.3262883,17.19373645,0.9756191866
-0.08161642625,4581.039917,122902.2881,0.09346001681,213.5956293,16.3583212,2.432930882
-0.07546134504,4575.807908,123157.1174,0.09376088397,197.1685674,15.60279407,0.2317235207
-0.069485161,4568.780524,123383.0155,0.09407734376,181.1775402,15.35077734,-0.2016299742
-0.06368267453,4563.121531,123585.0486,0.09434825222,165.5000717,15.16799992,-0.03939832595
-0.05804883713,4560.851054,123767.6477,0.09453469118,150.1268999,15.08091291,-0.1526700404
-0.05257874705,4562.033176,123948.1327,0.0946480153,135.1525373,14.89131122,-0.03937713069
-0.04726764501,4566.386782,124117.0448,0.09468663763,120.3211287,14.38284669,0.03841263997
-0.04211091003,4573.06316,124273.2485,0.09466739218,106.2527362,13.50189078,-0.03930970336
-0.03710405548,4579.958784,124440.1901,0.09465183949,93.21836292,12.47685426,-0.06572095645
-0.03224272511,4584.882048,124601.2755,0.0946725954,80.91392673,12.18058416,-0.06371197672
-0.02752268927,4587.273831,124765.0394,0.09474759718,68.69953789,12.25609235,-0.03786558436
-0.02293984128,4587.915744,124921.7098,0.09485330077,56.59885059,12.28714347,-0.0001563360875
-0.0184901938,4588.161243,125078.7728,0.09496747735,44.93934294,11.92471479,0.01755749932
-0.01416987538,4588.247712,125203.9863,0.09506075562,33.83468665,11.66488166,0.03592600682
-0.009975127082,4588.658797,125310.707,0.09513325948,23.34903899,11.2131062,0.03030104966
-0.005902299246,4588.978461,125363.3847,0.09516662165,13.37069973,10.77649364,0.01541335892
-0.001947848275,4589.524467,125419.857,0.09519816435,4.406375865,9.638558133,-0.0007600152307
