design,arm,fidelity,status,feasible,peak_heat_flux_w_m2,peak_bondline_temperature_k,max_g,integrated_external_heat_j_m2,peak_surface_temperature_k,max_dynamic_pressure_pa,entry_duration_s,nose_radius_m,diameter_m,mass_kg,cd,entry_flight_path_angle_deg,shoulder_radius_m,cone_half_angle_deg,surface_training_hash,gate_G4_status_at_build,gate_G4_status_at_evaluation,aero_shape_extrapolated,aero_time_fraction_below_cfd_mach,aero_time_fraction_above_cfd_mach,aero_heat_fraction_below_cfd_mach,aero_heat_fraction_above_cfd_mach,aero_mach_top_of_table,aero_cd_at_peak_heating,aero_mach_at_peak_heating,aero_cd_fore_std_max
baseline_capsule,constant,0,OK,False,1602813.5570430805,494.7759074630962,11.892458216639486,112517188.84282775,2380.796297543467,30076.461121271754,244.47913113804069,0.6,1.2,350.0,1.2,-3.0,0.12,25.0,,,,,,,,,,,,
baseline_capsule,surface,1,OK,False,1867563.2676823775,504.34059970158563,12.254329254813834,130607218.12921818,2476.089740200991,41841.359091405335,240.02325641772782,0.6,1.2,350.0,1.2,-3.0,0.12,25.0,b63b68a40321f38b,PASS,PASS,0.0,0.10710097335462669,0.09082453227807245,0.002092206183061399,0.029064427231048504,27.0,0.8898708428601941,18.930484598039985,0.0034218736578444132
baseline_capsule,surface_inclusive,1,OK,False,1867572.477339259,504.33513053880836,12.255988202049444,130602466.62469587,2476.0949556006244,41839.621797110674,240.02671956528593,0.6,1.2,350.0,1.2,-3.0,0.12,25.0,f08d4de8bf166111,PASS,PASS,0.0,0.10712836884099045,0.088621312550246,0.0020925972723933165,0.02847497477705668,27.0,0.8898829786665089,18.934465889655645,0.0024961552378688114
M4:C-52b4dbb040f4,constant,0,OK,True,243352.14187871077,421.1835191646167,9.216535046229371,20949467.103996646,1450.8841542600717,2944.3254088136755,383.3750194925436,4.016138470819585,3.3763676636276,350.0,1.2,-1.5088055161671106,0.33763676636276,68.82917059099299,,,,,,,,,,,,
M4:C-52b4dbb040f4,surface,1,OK,True,228698.79713437404,418.0314781413205,9.2228693944283,19651809.230976075,1426.2028421017183,2609.8454166396705,390.5290831446365,4.016138470819585,3.3763676636276,350.0,1.2,-1.5088055161671106,0.33763676636276,68.82917059099299,b63b68a40321f38b,PASS,PASS,0.0,0.35452527489506136,0.0,0.0030644299641781766,0.0,27.0,1.3633994501789357,21.128544493782723,0.004396882059882476
M4:C-52b4dbb040f4,surface_inclusive,1,OK,True,228577.7994240317,417.99866727283086,9.224464459209551,19640263.500824943,1425.9939439655845,2606.9034170262084,390.53398904050374,4.016138470819585,3.3763676636276,350.0,1.2,-1.5088055161671106,0.33763676636276,68.82917059099299,f08d4de8bf166111,PASS,PASS,0.0,0.35457558390419375,0.0,0.0030672767180933507,0.0,27.0,1.3648917512552416,21.123790443334542,0.0032240423139621305
M4:C-31adf2fd40ab,constant,0,OK,True,254716.88213858128,413.44565180627114,9.705010112092163,19993149.377555083,1467.1714226130057,3112.1514327557925,355.64528025669586,4.010125611132872,3.369973081815484,350.0,1.2,-1.9951526442849865,0.33699730818154844,69.99995704030627,,,,,,,,,,,,
M4:C-31adf2fd40ab,surface,1,OK,True,239432.64857794886,410.44988606986993,9.72068080784613,18736942.96848441,1442.2218021683757,2757.122173237834,363.0661904195485,4.010125611132872,3.369973081815484,350.0,1.2,-1.9951526442849865,0.33699730818154844,69.99995704030627,b63b68a40321f38b,PASS,PASS,0.0,0.3807182803093423,0.0,0.003211046957657179,0.0,27.0,1.3643129404180008,21.165697127469535,0.004414760123789687
M4:C-31adf2fd40ab,surface_inclusive,1,OK,True,239434.7076722706,410.446647214633,9.721961095564266,18736207.950672146,1442.2257359614136,2756.994378830249,363.07300558049604,4.010125611132872,3.369973081815484,350.0,1.2,-1.9951526442849865,0.33699730818154844,69.99995704030627,f08d4de8bf166111,PASS,PASS,0.0,0.38074540830764414,0.0,0.003211395285527215,0.0,27.0,1.3642915722658853,21.16673243137299,0.00324254866262568
M4:C-ce6d29101514,constant,0,OK,True,269906.2289759741,404.2081278576221,10.531728149565776,18685338.840583883,1487.6976379468974,3364.3246873613075,326.82852659769554,4.012551690024837,3.3764448869314627,350.0,1.2,-2.6455036507517544,0.3376444886931463,69.9956821049077,,,,,,,,,,,,
