design,arm,fidelity,status,feasible,peak_heat_flux_w_m2,peak_bondline_temperature_k,max_g,integrated_external_heat_j_m2,peak_surface_temperature_k,max_dynamic_pressure_pa,entry_duration_s,nose_radius_m,diameter_m,mass_kg,cd,entry_flight_path_angle_deg,shoulder_radius_m,cone_half_angle_deg,surface_training_hash,gate_G4_status_at_build,gate_G4_status_at_evaluation,bluntness_ratio,aero_shape_extrapolated,aero_time_fraction_below_cfd_mach,aero_time_fraction_above_cfd_mach,aero_heat_fraction_below_cfd_mach,aero_heat_fraction_above_cfd_mach,aero_mach_top_of_table,aero_cd_at_peak_heating,aero_mach_at_peak_heating,aero_cd_fore_std_max
b0.3_t25,constant,0,OK,False,2069223.4045011075,511.4665962162949,11.892458216639486,145259066.18344897,2541.564794337633,30076.461121271754,244.47913113804069,0.36,1.2,350.0,1.2,-3.0,0.12,25.0,,,,0.3,,,,,,,,,
b0.3_t25,surface,1,OK,False,3328207.208341922,541.1842768988655,13.103004082609301,224219077.02720192,2868.422041582293,79026.69853680918,231.59984451314955,0.36,1.2,350.0,1.2,-3.0,0.12,25.0,b63b68a40321f38b,PASS,PASS,0.3,0.0,0.05141136318124765,0.5651063036288378,0.0014209151248424793,0.3889897362155461,21.558246717785053,0.49603875943483783,19.086772315844975,0.01472234287178908
b0.3_t40,constant,0,OK,False,2069223.4045011075,511.4665962162949,11.892458216639486,145259066.18344897,2541.564794337633,30076.461121271754,244.47913113804069,0.36,1.2,350.0,1.2,-3.0,0.12,40.0,,,,0.3,,,,,,,,,
b0.3_t40,surface,1,OK,False,2493352.21332836,523.3662383975858,12.4085374045965,173638326.97745186,2665.4821781868304,44592.69596875752,239.63585450361157,0.36,1.2,350.0,1.2,-3.0,0.12,40.0,b63b68a40321f38b,PASS,PASS,0.3,0.0,0.10485034005975873,0.4402565559809896,0.0020217219654222194,0.2779906178692702,23.237900077244497,0.8364601318779513,18.96483793686907,0.03119631199873338
b0.3_t55,constant,0,OK,False,2069223.4045011075,511.4665962162949,11.892458216639486,145259066.18344897,2541.564794337633,30076.461121271754,244.47913113804069,0.36,1.2,350.0,1.2,-3.0,0.12,55.0,,,,0.3,,,,,,,,,
b0.3_t55,surface,1,OK,False,2017332.2330740788,509.4526874337893,11.853422379106743,141165746.5785915,2525.0948105261,28185.90125660771,245.89983709835354,0.36,1.2,350.0,1.2,-3.0,0.12,55.0,b63b68a40321f38b,PASS,PASS,0.3,0.0,0.14418483012355932,0.21065487725102203,0.0023413641906532036,0.09407081312960804,26.005909273517798,1.2691435624073562,19.40311095251942,0.027423919010481405
b0.3_t69,constant,0,OK,False,2069223.4045011075,511.4665962162949,11.892458216639486,145259066.18344897,2541.564794337633,30076.461121271754,244.47913113804069,0.36,1.2,350.0,1.2,-3.0,0.12,69.0,,,,0.3,,,,,,,,,
b0.3_t69,surface,1,OK,False,1941724.9519244137,507.2477617692385,11.681513103970303,136019022.12241536,2500.557750140756,26031.533055889573,246.57916463465494,0.36,1.2,350.0,1.2,-3.0,0.12,69.0,b63b68a40321f38b,PASS,PASS,0.3,0.0,0.1482774650878683,0.08596436772633445,0.0024177261327792457,0.0350784420569443,27.0,1.37074985335891,19.460186576440023,0.00950530431009961
b0.5_t25,constant,0,OK,False,1602813.5570430805,494.7759074630962,11.892458216639486,112517188.84282775,2380.796297543467,30076.461121271754,244.47913113804069,0.6,1.2,350.0,1.2,-3.0,0.12,25.0,,,,0.5,,,,,,,,,
b0.5_t25,surface,1,OK,False,1867563.2676823775,504.34059970158563,12.254329254813834,130607218.12921818,2476.089740200991,41841.359091405335,240.02325641772782,0.6,1.2,350.0,1.2,-3.0,0.12,25.0,b63b68a40321f38b,PASS,PASS,0.5,0.0,0.10710097335462669,0.09082453227807245,0.002092206183061399,0.029064427231048504,27.0,0.8898708428601941,18.930484598039985,0.0034218736578444132
b0.5_t40,constant,0,OK,False,1602813.5570430805,494.7759074630962,11.892458216639486,112517188.84282775,2380.796297543467,30076.461121271754,244.47913113804069,0.6,1.2,350.0,1.2,-3.0,0.12,40.0,,,,0.5,,,,,,,,,
b0.5_t40,surface,1,OK,False,1767887.0662946173,500.80340240813695,12.141433020943644,123826401.54712948,2441.6412761365195,37160.3740908567,241.94221181908063,0.6,1.2,350.0,1.2,-3.0,0.12,40.0,b63b68a40321f38b,PASS,PASS,0.5,0.0,0.11949901189314725,0.08784403979152701,0.002160615461619363,0.029988599676346872,27.0,0.9899891266495433,18.936222457835036,0.0166193503910767
b0.5_t55,constant,0,OK,False,1602813.5570430805,494.7759074630962,11.892458216639486,112517188.84282775,2380.796297543467,30076.461121271754,244.47913113804069,0.6,1.2,350.0,1.2,-3.0,0.12,55.0,,,,0.5,,,,,,,,,
