point_id,role,split,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,diameter_m,label
dp000,anchor,train,3.0,0.25,20.0,0.02,1.2,vertex0
dp001,anchor,train,20.0,0.25,20.0,0.02,1.2,vertex0
dp002,anchor,train,3.0,0.25,20.0,0.1,1.2,vertex1
dp003,anchor,train,20.0,0.25,20.0,0.1,1.2,vertex1
dp004,anchor,train,3.0,0.25,70.0,0.02,1.2,vertex2
dp005,anchor,train,20.0,0.25,70.0,0.02,1.2,vertex2
dp006,anchor,train,3.0,0.25,70.0,0.1,1.2,vertex3
dp007,anchor,train,20.0,0.25,70.0,0.1,1.2,vertex3
dp008,anchor,train,3.0,1.35,70.0,0.02,1.2,vertex6
dp009,anchor,train,20.0,1.35,70.0,0.02,1.2,vertex6
dp010,anchor,train,3.0,0.8,52.520127555148015,0.02,1.2,boundary0
dp011,anchor,train,20.0,0.8,52.520127555148015,0.02,1.2,boundary0
dp012,anchor,train,3.0,0.8,55.65009542095352,0.1,1.2,boundary1
dp013,anchor,train,20.0,0.8,55.65009542095352,0.1,1.2,boundary1
dp014,anchor,train,3.0,1.2,69.17631373650207,0.1,1.2,boundary2
dp015,anchor,train,20.0,1.2,69.17631373650207,0.1,1.2,boundary2
dp016,anchor,train,3.0,0.5,25.0,0.1,1.2,baseline
dp017,anchor,train,20.0,0.5,25.0,0.1,1.2,baseline
dp018,anchor,train,3.0,0.5,20.0,0.02,1.2,blunt_lo_angle_a
dp019,anchor,train,20.0,0.5,20.0,0.02,1.2,blunt_lo_angle_a
dp020,anchor,train,3.0,0.5,20.0,0.1,1.2,blunt_lo_angle_b
dp021,anchor,train,20.0,0.5,20.0,0.1,1.2,blunt_lo_angle_b
dp022,fill,train,12.85410397448922,0.27043715473264457,66.64569199085236,0.03015693411231041,1.2,draw0
dp023,fill,test,9.462523078153232,0.6071282286196947,44.13978986442089,0.08494714781641961,1.2,draw4
dp024,fill,test,5.144832881715895,0.49076446313411,25.768967093899846,0.07924222014844418,1.2,draw6
dp025,fill,train,4.813687125797088,0.32498500421643256,41.39622909016907,0.025220952555537225,1.2,draw10
dp026,fill,train,11.334642525413372,0.44649264551699164,51.023043394088745,0.06426599696278572,1.2,draw12
dp027,fill,train,6.137030953140419,0.553734259493649,68.5897280741483,0.09996243707835675,1.2,draw14
dp028,fill,train,15.403960369410035,0.5780418107286096,53.473076624795794,0.0761714966595173,1.2,draw16
dp029,fill,train,3.354095120584024,0.41887694112956525,60.12514939531684,0.08061553351581097,1.2,draw18
dp030,fill,train,7.956512824923746,0.3682430848479271,32.141528306528926,0.0490375317633152,1.2,draw20
dp031,fill,train,15.854455586377375,0.9309335959143937,67.90066666901112,0.06707444868981838,1.2,draw23
dp032,fill,train,18.379044046919688,0.46913237813860176,35.270864544436336,0.09556358739733696,1.2,draw24
dp033,fill,train,10.712954107839389,0.6845732152462005,62.84983794204891,0.02956243380904198,1.2,draw28
dp034,fill,test,7.301871282991542,0.3110683200880885,57.003430631011724,0.05402102313935757,1.2,draw30
dp035,fill,train,7.5724919912054895,0.8256062823347747,58.97996726445854,0.033283244296908376,1.2,draw33
dp036,fill,test,3.7967148546829392,0.25016674641519787,22.534231171011925,0.09024571701884271,1.2,draw34
dp037,fill,test,8.93999257878471,0.5110390840098262,69.92932011373341,0.059329833611845975,1.2,draw36
dp038,fill,train,4.841030953010094,0.6274111270904541,50.01888543367386,0.02487969383597374,1.2,draw38
dp039,fill,train,16.296680900991824,0.34337393157184126,48.056850330904126,0.08530855648219586,1.2,draw40
dp040,fill,train,4.5289192398066955,0.7943319926038385,65.6479474902153,0.07085362866520882,1.2,draw42
dp041,fill,train,11.995401434972528,0.5353327764198184,25.25921774096787,0.03989379696547985,1.2,draw44
dp042,fill,train,6.522730235169831,0.42809950560331345,44.411290511488914,0.044354789406061176,1.2,draw46
dp043,fill,train,14.501617500218336,0.40262438729405403,29.248394053429365,0.020529763028025626,1.2,draw48
dp044,fill,train,3.1674785062042874,0.5617976656183601,34.31507873348892,0.0562383522093296,1.2,draw50
dp045,fill,train,11.700058762187398,0.9653190945275129,64.5682239253074,0.08374155029654504,1.2,draw51
dp046,fill,train,8.45184801262078,0.749939881451428,56.341853346675634,0.09465545766055584,1.2,draw52
dp047,fill,test,5.761385305480542,0.3844914589077234,62.96951065771282,0.06894812658429146,1.2,draw54
dp048,fill,train,19.525479146107756,0.6501919291913509,59.46841200813651,0.041176734790205956,1.2,draw56
dp049,fill,train,4.251032938803662,0.4829705869778991,53.597589237615466,0.03547419175505638,1.2,draw58
dp050,fill,test,10.084227667136117,0.2972342910245061,38.6279091052711,0.07393524311482906,1.2,draw60
dp051,fill,train,3.4643505936645798,1.2300754928030075,67.29347266256809,0.026436343118548394,1.2,draw61
dp052,fill,train,3.3819345704035726,0.5197241426445545,36.862104227766395,0.06317066475749016,1.2,draw66
dp053,fill,test,9.8805834094756,1.1444981778040528,69.05855194665492,0.03567633703351021,1.2,draw67
dp054,fill,train,9.584135773534857,0.25880305739119647,52.23843099549413,0.027254476174712182,1.2,draw68
dp055,fill,train,5.405110292112265,0.7015954061411321,58.10925236903131,0.05170083984732628,1.2,draw70
dp056,anchor,train,3.0,1.2,70.0,0.1,1.2,m4_front_hi
dp057,anchor,train,20.0,1.2,70.0,0.1,1.2,m4_front_hi
dp058,anchor,train,3.0,1.15,70.0,0.1,1.2,m4_front_lo_b
dp059,anchor,train,20.0,1.15,70.0,0.1,1.2,m4_front_lo_b
dp060,anchor,train,3.0,1.15,68.10731219459836,0.1,1.2,m4_front_lo_b_crit
dp061,anchor,train,20.0,1.15,68.10731219459836,0.1,1.2,m4_front_lo_b_crit
dp062,anchor,train,27.0,0.25,20.0,0.02,1.2,vertex0@M27
