shape,mach_lo,mach_hi,cd_fore_lo,cd_fore_hi,rel_change,extrapolated
baseline,10.0,20.0,0.8876754600306891,0.8899271811359407,0.002536649041952499,False
baseline,6.0,20.0,0.8823614416822596,0.8899271811359407,0.00857442210899051,False
baseline,20.0,27.0,0.8899271811359407,0.8899913393852463,7.209381920847413e-05,False
m4_front,10.0,20.0,1.3471926635509979,1.3631501282752034,0.011844975968132276,False
m4_front,6.0,20.0,1.3232046982387304,1.3631501282752034,0.030188397977760184,False
m4_front,20.0,27.0,1.3631501282752034,1.3645071908185757,0.0009955341786818117,False
cone_60,10.0,20.0,1.4398726559374042,1.4356685537988463,-0.002919773579435736,False
cone_60,6.0,20.0,1.4219417933847205,1.4356685537988463,0.009653531866062659,False
cone_60,20.0,27.0,1.4356685537988463,1.4250929232715355,-0.007366345455799839,False
cone_40,10.0,20.0,0.8546518899723226,0.8354145294128064,-0.02250900136678946,False
cone_40,6.0,20.0,0.8663659314610141,0.8354145294128064,-0.03572555305356051,False
cone_40,20.0,27.0,0.8354145294128064,0.8263793213646556,-0.010815239297431667,True
