design,arm,fidelity,status,feasible,peak_heat_flux_w_m2,peak_bondline_temperature_k,max_g,integrated_external_heat_j_m2,peak_surface_temperature_k,max_dynamic_pressure_pa,entry_duration_s,nose_radius_m,diameter_m,mass_kg,cd,entry_flight_path_angle_deg,shoulder_radius_m,cone_half_angle_deg,surface_training_hash,gate_G4_status_at_build,gate_G4_status_at_evaluation,aero_shape_extrapolated,aero_time_fraction_below_cfd_mach,aero_time_fraction_above_cfd_mach,aero_heat_fraction_below_cfd_mach,aero_heat_fraction_above_cfd_mach,aero_cd_at_peak_heating,aero_mach_at_peak_heating,aero_cd_fore_std_max
baseline_capsule,constant,0,OK,False,1602813.5570430805,494.7759074630962,11.892458216639486,112517188.84282775,2380.796297543467,30076.461121271754,244.47913113804069,0.6,1.2,350.0,1.2,-3.0,0.12,25.0,,,,,,,,,,,
baseline_capsule,surface,1,OK,False,1867451.1555054858,504.28879234721325,12.27337358454899,130521543.48731229,2476.1047660807653,41751.18166899088,240.05469422312623,0.6,1.2,350.0,1.2,-3.0,0.12,25.0,fb657af4a92b40c7,IN_PROGRESS,IN_PROGRESS,0.0,0.10738904486123671,0.6004453436281093,0.002101384146907315,0.5374143938536978,0.8903846328427155,18.986863334065486,0.010757388319167597
baseline_capsule,surface_inclusive,1,OK,False,1867365.034679874,504.2762613731396,12.274401289583528,130512918.17027897,2476.0789713123636,41744.30171064818,240.0594191737844,0.6,1.2,350.0,1.2,-3.0,0.12,25.0,0c3b8ce4027ce018,IN_PROGRESS,IN_PROGRESS,0.0,0.10733733392684427,0.6004328225788051,0.0020969638996274436,0.5374430593398155,0.890500897836691,18.899653474959855,0.0059203816977468115
M4:C-52b4dbb040f4,constant,0,OK,True,243352.14187871077,421.1835191646167,9.216535046229371,20949467.103996646,1450.8841542600717,2944.3254088136755,383.3750194925436,4.016138470819585,3.3763676636276,350.0,1.2,-1.5088055161671106,0.33763676636276,68.82917059099299,,,,,,,,,,,
M4:C-52b4dbb040f4,surface,1,OK,True,228787.17535250078,418.10397771921913,9.200300250600206,19671273.768573433,1426.371192671856,2615.3162592379795,390.51492676816304,4.016138470819585,3.3763676636276,350.0,1.2,-1.5088055161671106,0.33763676636276,68.82917059099299,fb657af4a92b40c7,IN_PROGRESS,IN_PROGRESS,0.0,0.3543470362740757,0.43996144407754,0.0030541340484069933,0.665321365176183,1.3628718309799623,21.198099994708492,0.01808286032811542
M4:C-52b4dbb040f4,surface_inclusive,1,OK,True,228589.22588248667,418.0297677314663,9.21234277423935,19646347.90688671,1426.026122868851,2608.2589540410877,390.526014609022,4.016138470819585,3.3763676636276,350.0,1.2,-1.5088055161671106,0.33763676636276,68.82917059099299,0c3b8ce4027ce018,IN_PROGRESS,IN_PROGRESS,0.0,0.35449786652228715,0.43920551051654066,0.0030641325546057674,0.6626145567969136,1.3653350718268327,21.189857450451786,0.009764912476735865
M4:C-31adf2fd40ab,constant,0,OK,True,254716.88213858128,413.44565180627114,9.705010112092163,19993149.377555083,1467.1714226130057,3112.1514327557925,355.64528025669586,4.010125611132872,3.369973081815484,350.0,1.2,-1.9951526442849865,0.33699730818154844,69.99995704030627,,,,,,,,,,,
M4:C-31adf2fd40ab,surface,1,OK,True,239509.06859035377,410.5247830917213,9.694847873352565,18756524.441496674,1442.3717087893226,2762.984321288682,363.04762436858215,4.010125611132872,3.369973081815484,350.0,1.2,-1.9951526442849865,0.33699730818154844,69.99995704030627,fb657af4a92b40c7,IN_PROGRESS,IN_PROGRESS,0.0,0.3805231307204112,0.41062300771751215,0.00320000731978027,0.6545846032140046,1.3638010348213103,21.12499855895514,0.018357744572610076
M4:C-31adf2fd40ab,surface_inclusive,1,OK,True,239549.03638343132,410.4999563225214,9.709332473283693,18751187.201291494,1442.4374329507707,2761.08964036632,363.04956017256376,4.010125611132872,3.369973081815484,350.0,1.2,-1.9951526442849865,0.33699730818154844,69.99995704030627,0c3b8ce4027ce018,IN_PROGRESS,IN_PROGRESS,0.0,0.380595841213616,0.41061505245892066,0.003204796721402225,0.6547865764589224,1.3633334250126727,21.126624912487706,0.009752709762994718
M4:C-ce6d29101514,constant,0,OK,True,269906.2289759741,404.2081278576221,10.531728149565776,18685338.840583883,1487.6976379468974,3364.3246873613075,326.82852659769554,4.012551690024837,3.3764448869314627,350.0,1.2,-2.6455036507517544,0.3376444886931463,69.9956821049077,,,,,,,,,,,
M4:C-ce6d29101514,surface,1,OK,True,253927.90206369007,401.51950174779864,10.530991256012792,17520694.234556034,1462.6631125281112,2987.829212631128,334.5016807139148,4.012551690024837,3.3764448869314627,350.0,1.2,-2.6455036507517544,0.3376444886931463,69.9956821049077,fb657af4a92b40c7,IN_PROGRESS,IN_PROGRESS,0.0,0.41373857775708384,0.37573912423642997,0.0033994600466740114,0.64301958848672,1.3637722078486187,21.203050953832204,0.018347960784942427
M4:C-ce6d29101514,surface_inclusive,1,OK,True,253964.039290937,401.4914622312101,10.546435158969654,17514994.991948094,1462.7222293064367,2985.984919130349,334.5053042896968,4.012551690024837,3.3764448869314627,350.0,1.2,-2.6455036507517544,0.3376444886931463,69.9956821049077,0c3b8ce4027ce018,IN_PROGRESS,IN_PROGRESS,0.0,0.41380863730811196,0.37573523745559806,0.0034035412429433568,0.6432664529863423,1.363362489340843,21.203956152213184,0.009738577690736043
M4:C-8464df4a18da,constant,0,OK,True,283116.47323002724,398.4690397398969,11.251414220711808,17889600.692988783,1505.053052635103,3608.7877536008255,308.96737424168,4.008119200441119,3.36962586291817,350.0,1.2,-3.1352747938653724,0.336962586291817,69.19786347705761,,,,,,,,,,,
M4:C-8464df4a18da,surface,1,OK,True,266494.15507286595,395.94597641911116,11.258978093928778,16774211.687856102,1479.8844865823696,3207.344848912326,316.74658429775013,4.008119200441119,3.36962586291817,350.0,1.2,-3.1352747938653724,0.336962586291817,69.19786347705761,fb657af4a92b40c7,IN_PROGRESS,IN_PROGRESS,0.0,0.4353299081961047,0.3533272855958487,0.0035341436951294796,0.6339524736618044,1.3630979393392069,21.102340685869706,0.018190750665895945
