point_id,role,split,mach,bluntness_ratio,cone_half_angle_deg,shoulder_ratio,diameter_m,label,mesh_level,attempts,verdict,reasons,case,attempt,sizing_radius_m,standoff_margin,asymptote_margin_deg,status,n_cells,h_m,solver_wall_time_s,total_wall_time_s,shock_clearance_ok,outer_outlet_min_mach,outer_outlet_n_faces,outer_outlet_mach_deficit_rel,p_stag_rel_error_vs_rayleigh_pitot,cd_total,cd_fore,cd_aft,mesh_extent,outlet_min_mach,cd_total_last_iteration,standoff_m,standoff_over_max_radius,upstream_clearance_fraction,shock_thickness_m,shock_thickness_cells,stagnation_line_cell_size_at_shock_m,p_stag_wall_face_pa,p_stag_line_extrapolated_pa,p_max_on_body_pa,p_stag_over_p_inf,final_mean_abs_drho_dtau,initial_mean_abs_drho_dtau,n_iterations,n_iterations_planned,n_extensions,startup_first_order_iterations,cd_fore_peak_to_peak_rel,cd_fore_drift_rel,cd_fore_converged,max_non_orthogonality_deg,max_skewness,nose_radius_m,shoulder_radius_m,patience_pass,gate_G4_status_at_build
dp000,anchor,train,3.0,0.25,20.0,0.02,1.2,vertex0,coarse,1,USABLE,,dp000_coarse_a0,0,0.6,2.0,15.626892663754035,OK,3072,0.018464292323261543,275.0823490000039,312.00665174997994,True,3.000000000124821,2,-4.160694011545729e-11,-0.0084291910226576,0.3894280396501196,0.3894280396501196,,forebody,1.7938840957485551,0.3895019377386495,0.06618330382631298,0.11030550637718829,0.7309176907879671,0.006725684393626578,1.5565504317589067,0.004320890770000002,11948.89153,11959.300525882116,11948.89153,11.959300525882115,0.18036525218,2.96789717,10000,10000,0,1500,0.0006232099089711063,4.374997077752412e-05,True,51.50941665,0.9875025804,0.3,0.024,,IN_PROGRESS
dp001,anchor,train,20.0,0.25,20.0,0.02,1.2,vertex0,coarse,3,REJECTED,"force criterion not met (p2p 0.005972207935364963, drift 0.0002536901359560754) after 9 extensions",dp001_coarse_c0,2,0.6,3.2,28.342995834370537,OK,3072,0.017437032623591156,1137.2097551670013,1205.358421959987,True,20.00000000083214,2,-4.1607162160062217e-11,0.023873689807601295,0.35252709476358807,0.35252709476358807,,forebody,2.3842425349855407,0.3532877870820617,0.04072169623387288,0.06786949372312147,0.8528803075100073,0.006123020275488555,1.5943346723587344,0.003840486180000005,526047.7893,527790.5303400503,526047.7893,527.7905303400504,1.098887814,24.263489705,55000,10000,9,1500,0.005972207935364963,0.0002536901359560754,False,,,0.3,0.024,True,IN_PROGRESS
dp002,anchor,train,3.0,0.25,20.0,0.1,1.2,vertex1,coarse,1,USABLE,,dp002_coarse_a0,0,0.6,2.0,15.626892663754035,OK,3072,0.01864027922275626,276.7504234579974,312.81535870603693,True,3.000000000124821,2,-4.160694011545729e-11,-0.008608012736028181,0.38838640386804985,0.38838640386804985,,forebody,1.8956114137692694,0.3883787731201386,0.06616964281811054,0.11028273803018424,0.7309732325246401,0.006730580243174106,1.5576833848758127,0.00432089108,11946.7061,11957.143763509332,11946.7061,11.957143763509333,0.17718156597,2.894149254,10000,10000,0,1500,0.0003304137210357296,3.093462145062271e-06,True,51.62825285,0.9971405003,0.3,0.12,,IN_PROGRESS
dp003,anchor,train,20.0,0.25,20.0,0.1,1.2,vertex1,coarse,3,USABLE,,dp003_coarse_a2,2,0.6,5.120000000000001,32.34299583437054,OK,3072,0.020451852945703806,141.97376820800127,180.00094608399377,True,20.00000000083214,2,-4.1607162160062217e-11,-0.013833480052428349,0.35180009344534763,0.35180009344534763,,forebody,2.523211368410579,0.35172613759010013,0.0408076764777118,0.06801279412951967,0.9078560483434907,0.008760823811296448,1.6042741145119124,0.0054609269899999965,506982.4189,508353.0866630015,506982.4189,508.35308666300153,1.7215559879,16.489838983,10000,10000,0,1500,0.0007356229866837379,1.2179320450720172e-05,True,51.64029334,0.9333248366,0.3,0.12,,IN_PROGRESS
dp004,anchor,train,3.0,0.25,70.0,0.02,1.2,vertex2,coarse,1,USABLE,,dp004_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.014822091797463686,306.6288735419803,338.6340197919926,True,3.000000000124821,2,-4.160694011545729e-11,0.005867179772460318,1.4473356343396022,1.4473356343396022,,forebody,1.2999162757471183,1.4472762212659946,0.19819528895509184,0.33032548159181974,0.5970974328590475,0.01650353995960005,1.5534856231835843,0.010623554999999979,12128.54732,12131.72854939825,12154.08853,12.13172854939825,0.19415274762,5.8791728166,15000,10000,1,1500,0.0005144206612572394,4.8815161693715166e-05,True,67.30335923,1.657142083,0.3,0.024,,IN_PROGRESS
dp005,anchor,train,20.0,0.25,70.0,0.02,1.2,vertex2,coarse,1,USABLE,,dp005_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.011333668106883927,204.56877029199677,240.34308204399713,True,20.00000000083214,2,-4.1607162160062217e-11,-0.007586859382052058,1.5514834692305306,1.5514834692305306,,forebody,1.4681271658729353,1.5509558417778377,0.10857579359460437,0.1809596559910073,0.6861891553091443,0.010231987714352173,1.5869636847852313,0.006447524800000007,511527.0957,511573.1198265361,512721.751,511.57311982653613,2.5573133169,82.768192981,10000,10000,0,1500,0.0006968080469338186,9.65993404331154e-05,True,67.43657606,1.389344046,0.3,0.024,,IN_PROGRESS
dp006,anchor,train,3.0,0.25,70.0,0.1,1.2,vertex3,coarse,1,USABLE,,dp006_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.015585385609736145,117.98110866600473,131.22503729000164,True,3.000000000124821,2,-4.160694011545729e-11,-0.005858550310076427,1.274939687633874,1.274939687633874,,forebody,1.4454890674040202,1.2746380177973506,0.18339549845131153,0.30565916408551924,0.6271832821169099,0.015942002571924185,1.591814302652317,0.010014988899999994,11987.4635,11990.304932776196,12012.8675,11.990304932776196,0.088281715095,4.9709037944,15000,10000,1,1500,0.0006225224826666766,2.5802077937822274e-05,True,57.03640152,1.018082677,0.3,0.12,,IN_PROGRESS
dp007,anchor,train,20.0,0.25,70.0,0.1,1.2,vertex3,coarse,1,USABLE,,dp007_coarse_a0,0,1.2,2.0,6.0,OK,3072,0.011999330928533503,124.92168675000721,138.17478591602412,True,20.00000000083214,2,-4.1607162160062217e-11,-0.008782632505969779,1.3749329519556486,1.3749329519556486,,forebody,1.7059797638814116,1.374873923465512,0.10184238716727255,0.16973731194545424,0.7056503619801019,0.009578090657733476,1.5300143153118937,0.006260131399999994,510847.3928,510956.7178840685,512098.801,510.9567178840685,3.904973318,67.967779253,15000,10000,1,1500,0.0002977664818204245,9.291590840874684e-05,True,57.061521,0.8459456495,0.3,0.12,,IN_PROGRESS
dp008,anchor,train,3.0,1.35,70.0,0.02,1.2,vertex6,coarse,1,USABLE,,dp008_coarse_a0,0,1.62,2.0,6.0,OK,3072,0.01785324044159022,256.3574926269939,269.9540648770053,True,3.000000000124821,2,-4.160694011545729e-11,-0.00048406194273131753,1.449920403956327,1.449920403956327,,forebody,1.3043772829099556,1.4502428180714426,0.2774488892677661,0.4624148154462769,0.582212031130054,0.023179992166435237,1.616256258397373,0.014341780300000051,12051.98863,12055.126447262113,12063.51983,12.055126447262113,0.10289021879,3.4021139111,20000,10000,2,1500,0.0003803942611123289,6.441746087112632e-06,True,67.25503113,1.889553849,1.62,0.024,,IN_PROGRESS
dp009,anchor,train,20.0,1.35,70.0,0.02,1.2,vertex6,coarse,1,USABLE,,dp009_coarse_a0,0,1.62,2.0,6.0,OK,3072,0.0132967090016981,306.52494004201435,320.9298720009683,True,20.00000000083214,2,-4.1607162160062217e-11,0.01574107086793619,1.546715257218217,1.546715257218217,,forebody,1.4731421786871872,1.546730154375357,0.18873305515668484,0.31455509192780806,0.5959369504557552,0.01558837874881222,1.5453478075555998,0.010087294699999999,523469.6608,523598.29519820784,524224.2143,523.5982951982079,1.0657721411,52.234305389,25000,10000,3,1500,0.0001068192270968807,4.154165879270476e-05,True,67.41008352,1.634454192,1.62,0.024,,IN_PROGRESS
